时间,大项,比赛,场馆
29日09:00,篮球,女子预赛A组 加拿大74:53韩国,埼玉超级竞技场
29日12:40,篮球,男子预赛C组 斯洛文尼亚116:81日本,埼玉超级竞技场
29日16:20,篮球,女子预赛A组 西班牙85:70塞尔维亚,埼玉超级竞技场
29日20:00,篮球,男子预赛C组 西班牙81:71阿根廷,埼玉超级竞技场
29日10:00,乒乓球,女子单打半决赛 陈梦 VS 于梦雨,东京体育馆
29日11:00,乒乓球,女子单打半决赛 伊藤 美诚 VS 孙颖莎,东京体育馆
29日14:00,乒乓球,男子单打半决赛 樊振东 VS 林昀儒,东京体育馆
29日15:00,乒乓球,男子单打半决赛 奥夫特查洛夫 VS 马龙,东京体育馆
29日19:00,乒乓球,女子单打铜牌赛 于梦雨 VS 伊藤 美诚,东京体育馆
29日20:00,乒乓球,女子单打金牌赛 陈梦 VS 孙颖莎,东京体育馆
29日08:00,羽毛球,混合双打半决赛 渡边 雄太/东野 有纱 VS 王懿律/黄东萍,武藏野之森综合体育广场
29日08:00,羽毛球,女子单打16强 东宗·格蕾戈丽亚 VS 因达农·拉差诺,武藏野之森综合体育广场
29日08:00,羽毛球,女子单打16强 何冰娇 VS 张,武藏野之森综合体育广场
29日08:45,羽毛球,女子单打16强 奥原 希望  VS 李,武藏野之森综合体育广场
29日08:45,羽毛球,女子单打16强 安洗莹 VS 恩布鲁庞·布桑兰,武藏野之森综合体育广场
29日08:45,羽毛球,女子单打16强 布利切费尔德 VS 普萨拉,武藏野之森综合体育广场
29日09:35,羽毛球,混合双打半决赛 郑思维/黄雅琼 VS 邓俊文/谢影雪,武藏野之森综合体育广场
29日09:35,羽毛球,男子双打1/4决赛 苏卡穆约·凯文/吉迪恩·马库斯 VS 苏佑益/嘉亚伦,武藏野之森综合体育广场
29日10:25,羽毛球,男子双打1/4决赛 刘雨辰/李俊慧 VS 拉斯穆森/埃斯楚普,武藏野之森综合体育广场
29日10:25,羽毛球,男子双打1/4决赛 园田 启悟/嘉村 健士 VS 塞蒂亚万·亨德拉/阿赫桑·穆罕默德,武藏野之森综合体育广场
29日11:15,羽毛球,男子双打1/4决赛 王齐麟/李洋 VS 渡边 雄太/远藤 大由,武藏野之森综合体育广场
29日11:15,羽毛球,女子单打16强 金佳恩 VS 山口 茜,武藏野之森综合体育广场
29日16:00,羽毛球,女子双打1/4决赛 孔熙容/金昭映 VS 永原 和可那 /松本 麻佑,武藏野之森综合体育广场
29日16:00,羽毛球,男子单打16强 埃克森 VS 王子维,武藏野之森综合体育广场
29日16:00,羽毛球,女子双打1/4决赛 拉哈育·阿普里亚尼/波莉·格雷西娅 VS 李茵晖/杜玥,武藏野之森综合体育广场
29日16:45,羽毛球,男子单打16强 常山 干太  VS 金廷·安东尼,武藏野之森综合体育广场
29日16:45,羽毛球,男子单打16强 潘迪 VS 安东森,武藏野之森综合体育广场
29日16:45,羽毛球,男子单打16强 科登 VS 卡尔乔·马克,武藏野之森综合体育广场
29日17:30,羽毛球,女子双打1/4决赛 广田 彩花/福岛 由纪 VS 贾一凡/陈清晨,武藏野之森综合体育广场
29日17:30,羽毛球,女子双打1/4决赛 申昇瓒/李绍希 VS 塞尔宁·谢丽尔/皮克·塞莱娜,武藏野之森综合体育广场
29日18:15,羽毛球,男子单打16强 李子佳 VS 谌龙,武藏野之森综合体育广场
29日18:15,羽毛球,男子单打16强 克里斯蒂·乔纳坦 VS 石宇奇,武藏野之森综合体育广场
29日06:30,高尔夫,男子第1回合,霞关乡村俱乐部
29日08:00,排球,女子预赛 - B组 意大利3:0阿根廷,有明竞技场
29日10:05,排球,女子预赛 - A组 韩国3:2多米尼加,有明竞技场
29日13:20,排球,女子预赛 - A组 塞尔维亚3:0肯尼亚,有明竞技场
29日15:25,排球,女子预赛 - B组 中国2:3ROC,有明竞技场
29日18:40,排球,女子预赛 - A组 日本0:3巴西,有明竞技场
29日20:45,排球,女子预赛 - B组 美国3:2土耳其,有明竞技场
29日08:00,沙滩排球,女子预赛 - D组 克莱斯/斯邦塞尔2:0马科卡/卡丹比,潮风公园
29日09:00,沙滩排球,女子预赛 - A组 帕万/乌马纳·帕雷德斯2:0海德里希/梵尔格-德普雷,潮风公园
29日10:00,沙滩排球,男子预赛 - D组 卢塞纳/达尔豪瑟2:1阿萨德/卡波格罗索,潮风公园
29日14:00,沙滩排球,女子预赛 - A组 博尔格/苏德0:2舒恩·拉伊萨/斯塔姆·卡佳,潮风公园
29日15:00,沙滩排球,男子预赛 - B组 佩鲁西奇·昂德雷/施韦纳·大卫2:1加西奥拉·莱伊瓦/卢比奥·卡马戈,潮风公园
29日16:00,沙滩排球,男子预赛 - B组 克拉西利尼科夫 维亚切斯拉夫/斯托扬诺夫斯基 奥列格1:2普拉文斯/托克斯,潮风公园
29日19:00,沙滩排球,女子预赛 - C组 王凡/夏欣怡2:0加莱/佩雷伊拉,潮风公园
29日20:00,沙滩排球,女子预赛 - C组 贝德纳苏克/桑托斯·里斯本2:0班斯利/威尔克森,潮风公园
29日21:00,沙滩排球,男子预赛 - D组 塞鲁蒂/莫拉伊斯·菲略2:0布劳威尔·亚历山大/米乌森·罗伯特,潮风公园
29日18:00,棒球/垒球,棒球开幕分组循环赛B组 以色列5:6韩国,横滨棒球场
29日08:30,曲棍球,男子分组循环赛A组 印度3:1阿根廷,大井曲棍球场
29日09:00,曲棍球,男子分组循环赛B组 比利时9:1加拿大,大井曲棍球场
29日10:45,曲棍球,男子分组循环赛B组 南非4:3德国,大井曲棍球场
29日11:15,曲棍球,男子分组循环赛B组 荷兰2:2英国,大井曲棍球场
29日17:30,曲棍球,女子分组循环赛B组 西班牙2:0中国,大井曲棍球场
29日18:00,曲棍球,女子分组循环赛A组 英国0:1荷兰,大井曲棍球场
29日19:45,曲棍球,女子分组循环赛B组 日本1:2阿根廷,大井曲棍球场
29日20:15,曲棍球,女子分组循环赛B组 新西兰0:1澳大利亚,大井曲棍球场
29日08:00,手球,女子预赛A组 荷兰37:28安哥拉,国立代代木竞技场
29日10:00,手球,女子预赛B组 西班牙27:23巴西,国立代代木竞技场
29日13:15,手球,女子预赛A组 日本24:27韩国,国立代代木竞技场
29日15:15,手球,女子预赛A组 黑山23:35挪威,国立代代木竞技场
29日18:30,手球,女子预赛B组 匈牙利31:38ROC,国立代代木竞技场
29日20:30,手球,女子预赛B组 瑞典28:28法国,国立代代木竞技场
29日08:00,橄榄球,女子分组循环赛B组 法国12:5斐济,东京体育场
29日08:30,橄榄球,女子分组循环赛B组 加拿大33:0巴西,东京体育场
29日09:00,橄榄球,女子分组循环赛C组 美国28:14中国,东京体育场
29日09:30,橄榄球,女子分组循环赛C组 澳大利亚48:0日本,东京体育场
29日10:00,橄榄球,女子分组循环赛A组 ROC12:14英国,东京体育场
29日10:30,橄榄球,女子分组循环赛A组 新西兰29:7肯尼亚,东京体育场
29日15:30,橄榄球,女子分组循环赛B组 加拿大12:26斐济,东京体育场
29日16:00,橄榄球,女子分组循环赛B组 法国40:5巴西,东京体育场
29日16:30,橄榄球,女子分组循环赛C组 澳大利亚26:10中国,东京体育场
29日17:00,橄榄球,女子分组循环赛C组 美国17:7日本,东京体育场
29日17:30,橄榄球,女子分组循环赛A组 新西兰26:21英国,东京体育场
29日18:00,橄榄球,女子分组循环赛A组 ROC35:12肯尼亚,东京体育场
29日14:00,网球,男子单打1/4决赛 哈昌诺夫 卡连 VS 安贝尔,有明网球森林公园
29日14:00,网球,男子单打1/4决赛 卡雷诺·布斯塔 VS 梅德韦杰夫 丹尼尔,有明网球森林公园
29日14:00,网球,男子单打1/4决赛 兹维列夫 VS 查迪,有明网球森林公园
29日14:00,网球,混合双打1/4决赛,有明网球森林公园
29日14:00,网球,男子双打半决赛 维娜斯/丹尼尔 VS 多迪格/西里奇,有明网球森林公园
29日14:00,网球,混合双打1/4决赛,有明网球森林公园
29日14:00,网球,混合双打1/4决赛,有明网球森林公园
29日14:00,网球,女子双打半决赛 斯尼亚科娃·卡特琳娜/克赖奇科娃 ·巴尔博拉 VS 韦斯宁娜 叶连娜/兹沃娜列娃 韦拉,有明网球森林公园
29日14:00,网球,男子双打半决赛 帕维奇/梅克蒂克 VS 桑德格伦/克拉切克,有明网球森林公园
29日14:00,网球,女子双打半决赛,有明网球森林公园
29日14:00,网球,女子单打半决赛 本西奇 VS 莱巴基娜·伊莲娜,有明网球森林公园
29日14:00,网球,男子单打1/4决赛 德约科维奇 VS 锦织 圭,有明网球森林公园
29日14:00,网球,女子单打半决赛 斯维托琳娜 埃琳娜 VS 万卓索娃·马克塔,有明网球森林公园
29日14:00,网球,混合双打1/4决赛,有明网球森林公园
29日09:00,水球,男子预赛A组 匈牙利23:1南非,东京辰巳国际游泳场水球中心
29日10:30,水球,男子预赛B组 西班牙16:4哈萨克斯坦,东京辰巳国际游泳场水球中心
29日13:00,水球,男子预赛A组 美国11:12意大利,东京辰巳国际游泳场水球中心
29日14:30,水球,男子预赛B组 克罗地亚13:8黑山,东京辰巳国际游泳场水球中心
29日17:20,水球,男子预赛A组 希腊10:9日本,东京辰巳国际游泳场水球中心
29日18:50,水球,男子预赛B组 塞尔维亚14:8澳大利亚,东京辰巳国际游泳场水球中心
29日09:30,游泳,男子800米自由泳决赛,东京水上运动中心
29日09:44,游泳,男子200米蛙泳决赛,东京水上运动中心
29日09:53,游泳,女子100米自由泳半决赛第1组,东京水上运动中心
29日09:58,游泳,女子100米自由泳半决赛第2组,东京水上运动中心
29日10:04,游泳,男子200米仰泳半决赛第1组,东京水上运动中心
29日10:11,游泳,男子200米仰泳半决赛第2组,东京水上运动中心
29日10:28,游泳,女子200米蝶泳决赛,东京水上运动中心
29日10:37,游泳,男子100米自由泳决赛,东京水上运动中心
29日10:54,游泳,女子200米蛙泳半决赛第1组,东京水上运动中心
29日11:01,游泳,女子200米蛙泳半决赛第2组,东京水上运动中心
29日11:08,游泳,男子200米个人混合泳半决赛第1组,东京水上运动中心
29日11:14,游泳,男子200米个人混合泳半决赛第2组,东京水上运动中心
29日11:31,游泳,女子4x200米自由泳接力决赛,东京水上运动中心
29日18:00,游泳,女子800米自由泳分组预赛第1组,东京水上运动中心
29日18:12,游泳,女子800米自由泳分组预赛第2组,东京水上运动中心
29日18:22,游泳,女子800米自由泳分组预赛第3组,东京水上运动中心
29日18:32,游泳,女子800米自由泳分组预赛第4组,东京水上运动中心
29日18:43,游泳,男子100米蝶泳分组预赛第1组,东京水上运动中心
29日18:46,游泳,男子100米蝶泳分组预赛第2组,东京水上运动中心
29日18:49,游泳,男子100米蝶泳分组预赛第3组,东京水上运动中心
29日18:51,游泳,男子100米蝶泳分组预赛第4组,东京水上运动中心
29日18:54,游泳,男子100米蝶泳分组预赛第5组,东京水上运动中心
29日18:56,游泳,男子100米蝶泳分组预赛第6组,东京水上运动中心
29日18:59,游泳,男子100米蝶泳分组预赛第7组,东京水上运动中心
29日19:01,游泳,男子100米蝶泳分组预赛第8组,东京水上运动中心
29日19:05,游泳,女子200米仰泳分组预赛第1组,东京水上运动中心
