时间,大项,比赛,场馆
08日10:30,篮球,女子金牌赛 美国90:75日本,埼玉超级竞技场
08日08:00,排球,女子铜牌赛 韩国0:3塞尔维亚,有明竞技场
08日12:30,排球,女子金牌赛 巴西0:3美国,有明竞技场
08日10:00,手球,女子铜牌赛 挪威36:19瑞典,国立代代木竞技场
08日14:00,手球,女子金牌赛 ROC25:30法国,国立代代木竞技场
08日08:30,水球,男子7-8名排名赛 黑山17:18意大利,东京辰巳国际游泳场水球中心
08日10:00,水球,男子5-6名排名赛 克罗地亚14:11美国,东京辰巳国际游泳场水球中心
08日12:40,水球,男子铜牌赛 匈牙利9:5西班牙,东京辰巳国际游泳场水球中心
08日15:30,水球,男子金牌赛 希腊10:13塞尔维亚,东京辰巳国际游泳场水球中心
08日13:00,拳击,女子轻量级 (57-60公斤) 决赛 哈灵顿 VS 费雷拉,国技馆
08日13:15,拳击,男子轻量级 (57-63公斤) 决赛 戴维斯 VS 克鲁斯,国技馆
08日13:45,拳击,女子中量级 (69-75公斤) 决赛 普莱斯 VS 李倩,国技馆
08日14:15,拳击,男子超重量级 (91公斤以上) 决赛 贾洛洛夫 巴霍季尔 VS 小托雷斯,国技馆
08日09:00,场地自行车,女子全能赛捕捉赛 1/4,伊豆场地自行车馆
08日09:18,场地自行车,女子争先赛半决赛 - 第1场,伊豆场地自行车馆
08日09:24,场地自行车,男子凯林赛1/4决赛 - 第1组,伊豆场地自行车馆
08日09:29,场地自行车,男子凯林赛1/4决赛 - 第2组,伊豆场地自行车馆
08日09:34,场地自行车,男子凯林赛1/4决赛 - 第3组,伊豆场地自行车馆
08日09:39,场地自行车,女子争先赛半决赛 - 第2场,伊豆场地自行车馆
08日09:45,场地自行车,女子全能赛节奏赛 2/4,伊豆场地自行车馆
08日10:03,场地自行车,女子争先赛半决赛 - 第3场,伊豆场地自行车馆
08日10:06,场地自行车,女子争先赛5-8名排名赛,伊豆场地自行车馆
08日10:09,场地自行车,男子凯林赛半决赛 - 第1组,伊豆场地自行车馆
08日10:14,场地自行车,男子凯林赛半决赛 - 第2组,伊豆场地自行车馆
08日10:20,场地自行车,女子争先赛决赛 - 第1场,伊豆场地自行车馆
08日10:26,场地自行车,女子全能赛淘汰赛 3/4,伊豆场地自行车馆
08日10:45,场地自行车,女子争先赛决赛 - 第2场,伊豆场地自行车馆
08日10:51,场地自行车,男子凯林赛7-12名决赛,伊豆场地自行车馆
08日11:00,场地自行车,男子凯林赛1-6名决赛,伊豆场地自行车馆
08日11:05,场地自行车,女子争先赛决赛 - 第3场,伊豆场地自行车馆
08日11:25,场地自行车,女子全能赛积分赛 4/4,伊豆场地自行车馆
08日10:00,艺术体操,团体全能决赛 - 第1轮,有明体操竞技场
08日10:50,艺术体操,团体全能决赛 - 第2轮,有明体操竞技场
08日06:00,田径,男子马拉松决赛,札幌大通公园
