时间,大项,比赛,场馆
06日12:40,篮球,女子半决赛 美国79:59塞尔维亚,埼玉超级竞技场
06日19:00,篮球,女子半决赛 日本87:71法国,埼玉超级竞技场
06日17:00,足球,男子铜牌赛 墨西哥3:1日本,埼玉体育场
06日20:00,足球,女子金牌赛 瑞典1:1加拿大,横滨国际综合竞技场
06日10:00,乒乓球,男子团体铜牌赛 韩国 VS 日本,东京体育馆
06日18:30,乒乓球,男子团体金牌赛 中国 VS 德国,东京体育馆
06日06:30,高尔夫,女子第3回合,霞关乡村俱乐部
06日12:00,排球,女子半决赛 塞尔维亚0:3美国,有明竞技场
06日20:00,排球,女子半决赛 巴西3:0韩国,有明竞技场
06日09:00,沙滩排球,女子铜牌赛 克拉夫切诺卡/格劳迪娜0:2海德里希/梵尔格-德普雷,潮风公园
06日10:30,沙滩排球,女子金牌赛 阿塔乔/克兰西0:2罗斯/克兰曼,潮风公园
06日09:30,曲棍球,女子铜牌赛 英国4:3印度,大井曲棍球场
06日18:00,曲棍球,女子金牌赛 荷兰3:1阿根廷,大井曲棍球场
06日16:00,手球,女子半决赛 法国29:27瑞典,国立代代木竞技场
06日20:00,手球,女子半决赛 挪威26:27ROC,国立代代木竞技场
06日13:00,水球,男子5-8名排名赛 黑山10:12克罗地亚,东京辰巳国际游泳场水球中心
06日14:30,水球,男子半决赛 希腊9:6匈牙利,东京辰巳国际游泳场水球中心
06日17:20,水球,男子5-8名排名赛 意大利6:7美国,东京辰巳国际游泳场水球中心
06日18:50,水球,男子半决赛 塞尔维亚10:9西班牙,东京辰巳国际游泳场水球中心
06日14:00,跳水,男子10米跳台跳水预赛,东京水上运动中心
06日18:30,花样游泳,团体技术自选,东京水上运动中心
06日09:00,空手道,男子个人型淘汰赛 - A组 - 第1型赛,日本武道馆
06日09:24,空手道,男子个人型淘汰赛 - B组 - 第1型赛,日本武道馆
06日09:44,空手道,男子个人型淘汰赛 - A组 - 第2型赛,日本武道馆
06日10:08,空手道,男子个人型淘汰赛 - B组 - 第2型赛,日本武道馆
06日10:33,空手道,男子个人型排名赛 - A组,日本武道馆
06日10:45,空手道,男子个人型排名赛 - B组,日本武道馆
06日11:28,空手道,女子组手61公斤级淘汰赛A组,日本武道馆
06日11:35,空手道,女子组手61公斤级淘汰赛A组,日本武道馆
06日11:42,空手道,女子组手61公斤级淘汰赛B组,日本武道馆
06日11:49,空手道,女子组手61公斤级淘汰赛B组,日本武道馆
06日11:56,空手道,女子组手61公斤级淘汰赛A组,日本武道馆
06日12:03,空手道,女子组手61公斤级淘汰赛A组,日本武道馆
06日12:10,空手道,女子组手61公斤级淘汰赛B组,日本武道馆
06日12:17,空手道,女子组手61公斤级淘汰赛B组,日本武道馆
06日12:24,空手道,女子组手61公斤级淘汰赛A组,日本武道馆
06日12:31,空手道,女子组手61公斤级淘汰赛A组,日本武道馆
06日12:38,空手道,女子组手61公斤级淘汰赛B组,日本武道馆
06日12:45,空手道,女子组手61公斤级淘汰赛B组,日本武道馆
