时间,大项,比赛,场馆
23日07:30,赛艇,男子单人双桨分组预赛第1组,海之森水上竞技场
23日07:40,赛艇,男子单人双桨分组预赛第2组,海之森水上竞技场
23日07:50,赛艇,男子单人双桨分组预赛第3组,海之森水上竞技场
23日08:00,赛艇,男子单人双桨分组预赛第4组,海之森水上竞技场
23日08:10,赛艇,男子单人双桨分组预赛第5组,海之森水上竞技场
23日08:20,赛艇,男子单人双桨分组预赛第6组,海之森水上竞技场
23日08:30,赛艇,女子单人双桨分组预赛第1组,海之森水上竞技场
23日08:40,赛艇,女子单人双桨分组预赛第2组,海之森水上竞技场
23日08:50,赛艇,女子单人双桨分组预赛第3组,海之森水上竞技场
23日09:00,赛艇,女子单人双桨分组预赛第4组,海之森水上竞技场
23日09:10,赛艇,女子单人双桨分组预赛第5组,海之森水上竞技场
23日09:20,赛艇,女子单人双桨分组预赛第6组,海之森水上竞技场
23日09:30,赛艇,男子双人双桨分组预赛第1组,海之森水上竞技场
23日09:40,赛艇,男子双人双桨分组预赛第2组,海之森水上竞技场
23日09:50,赛艇,男子双人双桨分组预赛第3组,海之森水上竞技场
23日10:00,赛艇,女子双人双桨分组预赛第1组,海之森水上竞技场
23日10:10,赛艇,女子双人双桨分组预赛第2组,海之森水上竞技场
23日10:20,赛艇,女子双人双桨分组预赛第3组,海之森水上竞技场
23日10:30,赛艇,男子四人双桨分组预赛第1组,海之森水上竞技场
23日10:40,赛艇,男子四人双桨分组预赛第2组,海之森水上竞技场
23日10:50,赛艇,女子四人双桨分组预赛第1组,海之森水上竞技场
23日11:00,赛艇,女子四人双桨分组预赛第2组,海之森水上竞技场
23日08:00,射箭,女子个人排名赛,梦之岛公园射箭场
23日12:00,射箭,男子个人排名赛,梦之岛公园射箭场
