时间,大项,比赛,场馆
28日09:00,篮球,男子预赛B组 尼日利亚92:99德国,埼玉超级竞技场
28日12:40,篮球,男子预赛A组 美国120:66伊朗,埼玉超级竞技场
28日16:20,篮球,男子预赛B组 意大利83:86澳大利亚,埼玉超级竞技场
28日20:00,篮球,男子预赛A组 捷克77:97法国,埼玉超级竞技场
28日16:00,足球,男子D组 沙特阿拉伯1:3巴西,埼玉体育场
28日16:00,足球,男子D组 德国1:1科特迪瓦,宫城体育场
28日16:30,足球,男子B组 罗马尼亚0:0新西兰,札幌穹顶体育场
28日16:30,足球,男子B组 韩国6:0洪都拉斯,横滨国际综合竞技场
28日19:00,足球,男子C组 澳大利亚0:2埃及,宫城体育场
28日19:00,足球,男子C组 西班牙1:1阿根廷,埼玉体育场
28日19:30,足球,男子A组 法国0:4日本,横滨国际综合竞技场
28日19:30,足球,男子A组 南非0:3墨西哥,札幌穹顶体育场
28日16:00,三人篮球,女子半决赛 美国 VS 法国,青海城市运动公园
28日16:30,三人篮球,男子半决赛 塞尔维亚 VS ROC,青海城市运动公园
28日17:10,三人篮球,女子半决赛 ROC VS 中国,青海城市运动公园
28日17:40,三人篮球,男子半决赛 比利时 VS 拉脱维亚,青海城市运动公园
28日19:45,三人篮球,女子铜牌赛 法国 VS 中国,青海城市运动公园
28日20:15,三人篮球,男子铜牌赛 塞尔维亚 VS 比利时,青海城市运动公园
28日20:55,三人篮球,女子金牌赛 美国 VS ROC,青海城市运动公园
28日21:25,三人篮球,男子金牌赛 ROC VS 拉脱维亚,青海城市运动公园
28日08:00,羽毛球,女子单打小组赛 - L组 山口 茜 VS 吉尔莫,武藏野之森综合体育广场
28日08:00,羽毛球,女子单打小组赛 - P组 戴资颖 VS 齐,武藏野之森综合体育广场
28日09:00,乒乓球,女子单打1/4决赛 石川 佳纯 VS 于梦雨,东京体育馆
28日08:00,羽毛球,女子单打小组赛 - K组 金佳恩 VS 杨贾敏,武藏野之森综合体育广场
28日10:00,乒乓球,男子单打1/4决赛 樊振东 VS 郑荣植,东京体育馆
28日08:40,羽毛球,女子单打小组赛 - P组 阮翠玲 VS 杰奎特,武藏野之森综合体育广场
28日11:00,乒乓球,女子单打1/4决赛 陈梦 VS 杜凯琹,东京体育馆
28日08:40,羽毛球,女子单打小组赛 - M组 东宗·格蕾戈丽亚 VS 谭,武藏野之森综合体育广场
28日14:00,乒乓球,女子单打1/4决赛 伊藤 美诚 VS 田志希,东京体育馆
28日08:40,羽毛球,女子单打小组赛 - I组 布利切费尔德 VS 泽奇里,武藏野之森综合体育广场
28日09:20,羽毛球,女子单打小组赛 - E组 奥原 希望  VS 科谢茨卡娅 叶弗根妮娅,武藏野之森综合体育广场
28日15:00,乒乓球,男子单打1/4决赛 林昀儒 VS 约尔奇,东京体育馆
28日09:20,羽毛球,混合双打1/4决赛 郑思维/黄雅琼 VS 乔丹·普拉文/奥克塔维亚尼·梅拉蒂,武藏野之森综合体育广场
28日16:00,乒乓球,女子单打1/4决赛 汉 VS 孙颖莎,东京体育馆
28日19:00,乒乓球,男子单打1/4决赛 奥马尔·阿萨尔 VS 马龙,东京体育馆
28日09:20,羽毛球,女子单打小组赛 - H组 张 VS 席尔瓦,武藏野之森综合体育广场
28日10:00,羽毛球,女子单打小组赛 - G组 何冰娇 VS 苏拉娅,武藏野之森综合体育广场
28日20:00,乒乓球,男子单打1/4决赛 卡尔德拉诺 VS 奥夫特查洛夫,东京体育馆
28日10:00,羽毛球,女子单打小组赛 - J组 普萨拉 VS 张雁宜,武藏野之森综合体育广场
28日10:00,羽毛球,女子单打小组赛 - F组 李 VS 雷皮斯卡·马丁娜,武藏野之森综合体育广场
28日10:40,羽毛球,混合双打1/4决赛 埃利斯/史密斯 VS 邓俊文/谢影雪,武藏野之森综合体育广场
28日10:40,羽毛球,混合双打1/4决赛 渡边 雄太/东野 有纱 VS 尔普瓦拉努克罗·德差波/德拉达那猜·沙西丽,武藏野之森综合体育广场
28日10:40,羽毛球,女子单打小组赛 - N组 因达农·拉差诺 VS 索尼娅·谢,武藏野之森综合体育广场
28日11:20,羽毛球,女子单打小组赛 - A组 陈雨菲 VS 伊吉特·内斯里汉,武藏野之森综合体育广场
28日11:20,羽毛球,混合双打1/4决赛 徐承宰/蔡侑玎 VS 王懿律/黄东萍,武藏野之森综合体育广场
28日17:00,羽毛球,男子单打小组赛 - C组 伍家朗 VS 科登,武藏野之森综合体育广场
28日17:00,羽毛球,男子单打小组赛 - J组 金廷·安东尼 VS 西兰特 谢尔盖,武藏野之森综合体育广场
28日17:00,羽毛球,男子单打小组赛 - D组 赛普拉尼斯 VS 卡尔乔·马克,武藏野之森综合体育广场
28日17:40,羽毛球,男子单打小组赛 - P组 周天成 VS 杨,武藏野之森综合体育广场
28日17:40,羽毛球,男子单打小组赛 - F组 王子维 VS 阮,武藏野之森综合体育广场
28日17:40,羽毛球,男子单打小组赛 - E组 埃克森 VS 科尔乔宁,武藏野之森综合体育广场
28日18:20,羽毛球,男子单打小组赛 - I组 常山 干太  VS 科埃略,武藏野之森综合体育广场
28日18:20,羽毛球,男子单打小组赛 - G组 克里斯蒂·乔纳坦 VS 基恩·尤·罗,武藏野之森综合体育广场
28日19:00,羽毛球,男子单打小组赛 - A组 桃田 贤斗 VS 许侊熙,武藏野之森综合体育广场
28日19:00,羽毛球,男子单打小组赛 - K组 王高伦）·坎塔蓬 VS 潘迪,武藏野之森综合体育广场
28日19:00,羽毛球,男子单打小组赛 - L组 安东森 VS 雷查约 艾德 雷斯基,武藏野之森综合体育广场
28日19:40,羽毛球,男子单打小组赛 - N组 谌龙 VS 阿比安,武藏野之森综合体育广场
28日19:40,羽毛球,男子单打小组赛 - M组 李子佳 VS 勒韦尔得兹,武藏野之森综合体育广场
28日08:00,排球,男子预赛 - A组 加拿大3:0伊朗,有明竞技场
28日10:05,排球,男子预赛 - B组 美国3:1突尼斯,有明竞技场
