时间,大项,比赛,场馆
31日09:00,篮球,男子预赛A组 伊朗62:79法国,埼玉超级竞技场
31日12:40,篮球,男子预赛B组 意大利80:71尼日利亚,埼玉超级竞技场
31日16:20,篮球,男子预赛B组 澳大利亚89:76德国,埼玉超级竞技场
31日20:00,篮球,男子预赛A组 美国119:84捷克,埼玉超级竞技场
31日16:00,足球,男子1/4决赛 西班牙5:2科特迪瓦,宫城体育场
31日17:00,足球,男子1/4决赛 日本0:0新西兰,茨城县立鹿嶋足球场
31日18:00,足球,男子1/4决赛 巴西1:0埃及,埼玉体育场
31日19:00,足球,男子1/4决赛 韩国3:6墨西哥,横滨国际综合竞技场
31日08:00,羽毛球,男子单打1/4决赛 许侊熙 VS 科登,武藏野之森综合体育广场
31日08:50,羽毛球,女子双打半决赛 拉哈育·阿普里亚尼/波莉·格雷西娅 VS 申昇瓒/李绍希,武藏野之森综合体育广场
31日09:40,羽毛球,男子单打1/4决赛 埃克森 VS 石宇奇,武藏野之森综合体育广场
31日10:30,羽毛球,女子双打半决赛 孔熙容/金昭映 VS 贾一凡/陈清晨,武藏野之森综合体育广场
31日11:20,羽毛球,男子单打1/4决赛 金廷·安东尼 VS 安东森,武藏野之森综合体育广场
31日12:10,羽毛球,男子单打1/4决赛 谌龙 VS 周天成,武藏野之森综合体育广场
31日17:00,羽毛球,女子单打半决赛 陈雨菲 VS 何冰娇,武藏野之森综合体育广场
31日08:30,高尔夫,男子第3回合,霞关乡村俱乐部
31日17:50,羽毛球,女子单打半决赛 普萨拉 VS 戴资颖,武藏野之森综合体育广场
31日18:40,羽毛球,男子双打铜牌赛 苏佑益/嘉亚伦 VS 塞蒂亚万·亨德拉/阿赫桑·穆罕默德,武藏野之森综合体育广场
31日19:30,羽毛球,男子双打金牌赛 刘雨辰/李俊慧 VS 王齐麟/李洋,武藏野之森综合体育广场
31日08:00,排球,女子预赛 - A组 多米尼加3:0肯尼亚,有明竞技场
31日10:05,排球,女子预赛 - B组 美国0:3ROC,有明竞技场
31日13:20,排球,女子预赛 - B组 阿根廷0:3土耳其,有明竞技场
31日15:25,排球,女子预赛 - A组 塞尔维亚1:3巴西,有明竞技场
31日18:40,排球,女子预赛 - A组 日本2:3韩国,有明竞技场
31日20:45,排球,女子预赛 - B组 中国3:0意大利,有明竞技场
31日08:00,沙滩排球,女子预赛 - D组 席尔瓦·拉莫斯/席尔瓦1:2克莱斯/斯邦塞尔,潮风公园
31日09:00,沙滩排球,女子预赛 - D组 克拉夫切诺卡/格劳迪娜2:0马科卡/卡丹比,潮风公园
31日10:00,沙滩排球,男子预赛 - F组 白鸟 胜浩/石岛 雄介0:2塔勒/维克勒,潮风公园
31日14:00,沙滩排球,男子预赛 - B组 普拉文斯/托克斯0:2加西奥拉·莱伊瓦/卢比奥·卡马戈,潮风公园
31日15:00,沙滩排球,男子预赛 - B组 克拉西利尼科夫 维亚切斯拉夫/斯托扬诺夫斯基 奥列格2:1佩鲁西奇·昂德雷/施韦纳·大卫,潮风公园
31日16:00,沙滩排球,女子幸运失败者赛 村上 惠/石井 美树0:2费尔南德斯·斯特內/巴克里索·麦克米兰,潮风公园
31日19:00,沙滩排球,女子幸运失败者赛 舒恩·拉伊萨/斯塔姆·卡佳0:2埃切瓦里亚·贝尼特斯/马丁内斯·奥尔特加,潮风公园
31日20:00,沙滩排球,男子幸运失败者赛 洛西亚克·巴托斯/坎特尔·皮特1:2埃雷拉·阿耶普斯/加维拉·科亚多,潮风公园
31日21:00,沙滩排球,男子幸运失败者赛 格里马尔特/格里马尔特2:0格森/海德里希,潮风公园
31日11:00,棒球/垒球,棒球开幕分组循环赛A组 日本7:4墨西哥,横滨棒球场
31日18:00,棒球/垒球,棒球开幕分组循环赛B组 韩国2:4美国,横滨棒球场
31日08:30,曲棍球,女子分组循环赛B组 中国3:2新西兰,大井曲棍球场
31日09:00,曲棍球,女子分组循环赛B组 日本1:4西班牙,大井曲棍球场
