时间,大项,比赛,场馆
25日09:00,篮球,男子预赛A组 伊朗78:84捷克,埼玉超级竞技场
25日12:40,篮球,男子预赛B组 德国82:92意大利,埼玉超级竞技场
25日16:20,篮球,男子预赛B组 澳大利亚84:67尼日利亚,埼玉超级竞技场
25日20:00,篮球,男子预赛A组 法国83:76美国,埼玉超级竞技场
25日09:15,三人篮球,女子分组循环赛 日本 VS 蒙古,青海城市运动公园
25日09:40,三人篮球,女子分组循环赛 罗马尼亚 VS 意大利,青海城市运动公园
25日15:30,足球,男子C组 埃及0:1阿根廷,札幌穹顶体育场
25日10:35,三人篮球,男子分组循环赛 ROC VS 比利时,青海城市运动公园
25日16:00,足球,男子A组 法国4:3南非,埼玉体育场
25日11:00,三人篮球,男子分组循环赛 波兰 VS 塞尔维亚,青海城市运动公园
25日16:00,足球,男子B组 新西兰2:3洪都拉斯,茨城县立鹿嶋足球场
25日13:00,三人篮球,女子分组循环赛 蒙古 VS ROC,青海城市运动公园
25日16:30,足球,男子D组 巴西0:0科特迪瓦,横滨国际综合竞技场
25日13:25,三人篮球,女子分组循环赛 中国 VS 意大利,青海城市运动公园
25日18:30,足球,男子C组 澳大利亚0:1西班牙,札幌穹顶体育场
25日14:00,三人篮球,男子分组循环赛 中国 VS 拉脱维亚,青海城市运动公园
25日19:00,足球,男子A组 日本2:1墨西哥,埼玉体育场
25日14:25,三人篮球,男子分组循环赛 塞尔维亚 VS 比利时,青海城市运动公园
25日19:00,足球,男子B组 罗马尼亚0:4韩国,茨城县立鹿嶋足球场
25日16:30,三人篮球,女子分组循环赛 罗马尼亚 VS 美国,青海城市运动公园
25日19:30,足球,男子D组 沙特阿拉伯2:3德国,横滨国际综合竞技场
25日16:55,三人篮球,女子分组循环赛 日本 VS 法国,青海城市运动公园
25日17:40,三人篮球,男子分组循环赛 ROC VS 波兰,青海城市运动公园
25日18:05,三人篮球,男子分组循环赛 日本 VS 荷兰,青海城市运动公园
25日20:00,三人篮球,女子分组循环赛 中国 VS 法国,青海城市运动公园
25日20:25,三人篮球,女子分组循环赛 ROC VS 美国,青海城市运动公园
25日21:00,三人篮球,男子分组循环赛 荷兰 VS 中国,青海城市运动公园
25日21:25,三人篮球,男子分组循环赛 拉脱维亚 VS 日本,青海城市运动公园
25日09:00,羽毛球,男子单打小组赛 - P组 周天成 VS 布雷斯特,武藏野之森综合体育广场
25日09:00,羽毛球,女子单打小组赛 - M组 东宗·格蕾戈丽亚 VS 图扎尔,武藏野之森综合体育广场
25日09:00,羽毛球,男子双打小组赛 - D组 徐承宰/催率圭 VS 雅库拉/霍·舒,武藏野之森综合体育广场
25日09:40,羽毛球,男子单打小组赛 - I组 常山 干太  VS 保罗,武藏野之森综合体育广场
25日09:40,羽毛球,女子单打小组赛 - J组 普萨拉 VS 克谢尼娅·波利卡波娃,武藏野之森综合体育广场
25日09:40,羽毛球,女子双打小组赛 - D组 孔熙容/金昭映 VS 巴宗哉·拉温达/基蒂塔拉库尔 ·宗空潘,武藏野之森综合体育广场
25日10:20,羽毛球,女子单打小组赛 - E组 奥原 希望  VS 李,武藏野之森综合体育广场
25日10:20,羽毛球,女子单打小组赛 - A组 陈雨菲 VS 多哈·哈尼,武藏野之森综合体育广场
25日10:20,羽毛球,混合双打小组赛 - D组 陈彭顺/吴刘英 VS 拉姆斯福斯/赫特里希,武藏野之森综合体育广场
25日09:00,乒乓球,混合双打1/4决赛 许昕/刘诗雯 VS 约内斯库/斯早克斯,东京体育馆
25日11:00,羽毛球,女子单打小组赛 - F组 李 VS 索托马约尔,武藏野之森综合体育广场
25日09:00,乒乓球,混合双打1/4决赛 莱贝松/元 VS 黃镇廷/杜凯琹,东京体育馆
25日11:00,羽毛球,混合双打小组赛 - D组 王懿律/黄东萍 VS 邓俊文/谢影雪,武藏野之森综合体育广场
25日10:00,乒乓球,混合双打1/4决赛 林昀儒/郑怡静 VS 李尚洙/田志希,东京体育馆
25日11:00,羽毛球,混合双打小组赛 - B组 尔普瓦拉努克罗·德差波/德拉达那猜·沙西丽 VS 纪凯尔/德尔鲁,武藏野之森综合体育广场
25日10:00,乒乓球,混合双打1/4决赛 冯思卡/绍雅 VS 水谷 隼/伊藤 美诚,东京体育馆
25日11:40,羽毛球,男子单打小组赛 - H组 石宇奇 VS 阿贝拉,武藏野之森综合体育广场
25日13:00,乒乓球,男子单打第2轮 莱贝松 VS 加奇纳,东京体育馆
25日11:40,羽毛球,女子单打小组赛 - G组 何冰娇 VS 法蒂玛斯·纳巴哈,武藏野之森综合体育广场
25日13:00,乒乓球,男子单打第2轮 格纳塞卡兰 VS 林兆恒,东京体育馆
25日11:40,羽毛球,男子双打小组赛 - B组 渡边 雄太/远藤 大由 VS 索宗诺夫 伊万/伊万诺夫 弗拉季米尔,武藏野之森综合体育广场
25日13:00,乒乓球,女子单打第2轮 波塔·乔治娜 VS 莫雷特,东京体育馆
25日12:20,羽毛球,男子单打小组赛 - J组 金廷·安东尼 VS 克劳斯·格格利,武藏野之森综合体育广场
25日13:00,乒乓球,女子单打第2轮 迪娜·梅谢里夫 VS 帕尔蒂卡·纳塔利娅,东京体育馆
25日12:20,羽毛球,女子双打小组赛 - C组 申昇瓒/李绍希 VS 图格森/弗尔高,武藏野之森综合体育广场
25日13:45,乒乓球,男子单打第2轮 哈贝松 VS 克拉伦斯·楚,东京体育馆
25日12:20,羽毛球,混合双打小组赛 - C组 乔丹·普拉文/奥克塔维亚尼·梅拉蒂 VS 克里斯蒂安森/波伊,武藏野之森综合体育广场
25日13:45,乒乓球,男子单打第2轮 艾哈迈德·萨拉赫 VS 乔尼斯,东京体育馆
25日13:00,羽毛球,男子单打小组赛 - N组 谌龙 VS 马斯特 劳尔,武藏野之森综合体育广场
