时间,大项,比赛,场馆
01日09:00,篮球,女子预赛A组 加拿大66:76西班牙,埼玉超级竞技场
01日12:40,篮球,男子预赛C组 阿根廷97:77日本,埼玉超级竞技场
01日16:20,篮球,男子预赛C组 西班牙87:95斯洛文尼亚,埼玉超级竞技场
01日20:00,篮球,女子预赛A组 韩国61:65塞尔维亚,埼玉超级竞技场
01日09:00,乒乓球,男子团体16强 斯洛文尼亚 VS 韩国,东京体育馆
01日09:00,乒乓球,男子团体16强 中国台北 VS 克罗地亚,东京体育馆
01日09:00,乒乓球,女子团体16强 中国香港 VS 巴西,东京体育馆
01日09:00,乒乓球,女子团体16强 埃及 VS 罗马尼亚,东京体育馆
01日13:30,乒乓球,男子团体16强 中国香港 VS 法国,东京体育馆
01日13:30,乒乓球,男子团体16强 巴西 VS 塞尔维亚,东京体育馆
01日13:30,乒乓球,女子团体16强 中国 VS 奥地利,东京体育馆
01日13:30,乒乓球,女子团体16强 澳大利亚 VS 德国,东京体育馆
01日18:30,乒乓球,男子团体16强 中国 VS 埃及,东京体育馆
01日18:30,乒乓球,男子团体16强 葡萄牙 VS 德国,东京体育馆
01日18:30,乒乓球,女子团体16强 中国台北 VS 美国,东京体育馆
01日18:30,乒乓球,女子团体16强 匈牙利 VS 日本,东京体育馆
01日06:30,高尔夫,男子第4回合,霞关乡村俱乐部
01日15:30,高尔夫,男子铜牌加洞延长赛,霞关乡村俱乐部
01日12:00,羽毛球,男子单打半决赛 科登 VS 埃克森,武藏野之森综合体育广场
01日12:50,羽毛球,男子单打半决赛 金廷·安东尼 VS 谌龙,武藏野之森综合体育广场
01日19:30,羽毛球,女子单打铜牌赛 何冰娇 VS 普萨拉,武藏野之森综合体育广场
01日20:20,羽毛球,女子单打金牌赛 陈雨菲 VS 戴资颖,武藏野之森综合体育广场
01日08:00,排球,男子预赛 - A组 波兰3:0加拿大,有明竞技场
01日10:05,排球,男子预赛 - B组 巴西3:2法国,有明竞技场
01日13:20,排球,男子预赛 - B组 ROC3:0突尼斯,有明竞技场
01日15:25,排球,男子预赛 - A组 意大利3:0委内瑞拉,有明竞技场
01日18:40,排球,男子预赛 - A组 日本3:2伊朗,有明竞技场
01日20:45,排球,男子预赛 - B组 美国0:3阿根廷,有明竞技场
01日08:00,沙滩排球,女子16强 班斯利/威尔克森2:1克莱斯/斯邦塞尔,潮风公园
01日09:00,沙滩排球,女子16强 王凡/夏欣怡0:2席尔瓦·拉莫斯/席尔瓦,潮风公园
01日12:00,沙滩排球,男子16强 艾哈迈德·蒂扬/谢里夫·尤努瑟2:1卢塞纳/达尔豪瑟,潮风公园
01日13:00,沙滩排球,女子16强 玛克萝古佐娃 娜杰日达/霍洛明娜 斯韦特兰娜1:2克拉夫切诺卡/格劳迪娜,潮风公园
01日16:00,沙滩排球,女子16强 路德维希/寇祖赫2:1贝德纳苏克/桑托斯·里斯本,潮风公园
01日17:00,沙滩排球,女子16强 海德里希/梵尔格-德普雷2:1贝特沙特/胡贝里,潮风公园
01日20:00,沙滩排球,女子16强 阿塔乔/克兰西2:0王鑫鑫/薛晨,潮风公园
01日21:00,沙滩排球,男子16强 莫勒/索鲁姆2:0布劳威尔·亚历山大/米乌森·罗伯特,潮风公园
01日11:00,棒球/垒球,棒球第1轮 以色列12:5墨西哥,横滨棒球场
01日18:00,棒球/垒球,棒球第1轮 多米尼加3:4韩国,横滨棒球场
01日08:30,曲棍球,男子1/4决赛 德国3:1阿根廷,大井曲棍球场
01日11:00,曲棍球,男子1/4决赛 澳大利亚2:2荷兰,大井曲棍球场
01日17:30,曲棍球,男子1/4决赛 比利时3:1西班牙,大井曲棍球场
01日20:00,曲棍球,男子1/4决赛 印度3:1英国,大井曲棍球场
01日08:00,手球,男子预赛B组 葡萄牙30:31日本,国立代代木竞技场
01日10:00,手球,男子预赛B组 埃及30:20巴林,国立代代木竞技场
01日13:15,手球,男子预赛A组 西班牙36:27阿根廷,国立代代木竞技场
01日15:15,手球,男子预赛A组 挪威32:29法国,国立代代木竞技场
01日18:30,手球,男子预赛A组 德国29:25巴西,国立代代木竞技场
01日20:30,手球,男子预赛B组 丹麦30:33瑞典,国立代代木竞技场
01日14:00,网球,女子双打金牌赛 斯尼亚科娃·卡特琳娜/克赖奇科娃 ·巴尔博拉 VS 本西奇/戈鲁比奇,有明网球森林公园
01日14:00,网球,男子单打金牌赛 兹维列夫 VS 哈昌诺夫 卡连,有明网球森林公园
01日14:00,网球,混合双打金牌赛,有明网球森林公园
01日13:00,水球,女子预赛B组 匈牙利9:11中国,东京辰巳国际游泳场水球中心
01日14:30,水球,女子预赛A组 荷兰16:12加拿大,东京辰巳国际游泳场水球中心
01日17:20,水球,女子预赛B组 ROC20:16日本,东京辰巳国际游泳场水球中心
01日18:50,水球,女子预赛A组 澳大利亚14:1南非,东京辰巳国际游泳场水球中心
01日14:00,跳水,女子3米跳板跳水决赛,东京水上运动中心
01日10:00,摔跤,男子古典式60公斤级1/8决赛 文田 健一郎 VS 夫格特,幕张展览馆 A厅
01日10:00,摔跤,男子古典式130公斤级1/8决赛 卡亚拉普·里扎 VS 克尼施陶塔斯·曼塔斯,幕张展览馆 A厅
01日10:00,摔跤,女子自由式76公斤级1/8决赛 格雷 VS 扎伊内布·斯加伊尔,幕张展览馆 A厅
01日10:07,摔跤,男子古典式60公斤级1/8决赛 金辛格 VS 瓦里汗·赛里克,幕张展览馆 A厅
01日10:07,摔跤,男子古典式130公斤级1/8决赛 索格莫尼扬 VS 波普,幕张展览馆 A厅
01日10:07,摔跤,女子自由式76公斤级1/8决赛 达席尔瓦·费雷拉 VS 阿达尔·亚塞明,幕张展览馆 A厅
01日10:14,摔跤,男子古典式60公斤级1/8决赛 捷米罗夫 连努尔 VS 塔斯穆拉多夫 埃利穆拉特,幕张展览馆 A厅
01日10:14,摔跤,男子古典式130公斤级1/8决赛 阿莱克苏克 丘拉留 VS 洛佩斯·努涅斯,幕张展览馆 A厅
01日10:14,摔跤,女子自由式76公斤级1/8决赛 沃萝比叶娃 娜塔莉娅 VS 萨马·阿梅·易卜拉欣·哈姆扎,幕张展览馆 A厅
01日10:21,摔跤,男子古典式60公斤级1/8决赛 梅利基扬 VS 内贾蒂·阿里,幕张展览馆 A厅
01日10:21,摔跤,男子古典式130公斤级1/8决赛 金旼锡 VS 米尔扎德·阿敏,幕张展览馆 A厅
01日10:21,摔跤,女子自由式76公斤级1/8决赛 梅杰特 克济 艾佩丽 VS 赛斯迪冦娃·埃尔米拉,幕张展览馆 A厅
01日10:28,摔跤,男子古典式60公斤级1/8决赛 卡迈勒·凯雷姆 VS 乔班诺夫 维克托,幕张展览馆 A厅
