时间,大项,比赛,场馆
26日09:00,篮球,女子预赛A组 韩国69:73西班牙,埼玉超级竞技场
26日12:40,篮球,男子预赛C组 阿根廷100:118斯洛文尼亚,埼玉超级竞技场
26日16:20,篮球,女子预赛A组 塞尔维亚72:68加拿大,埼玉超级竞技场
26日20:00,篮球,男子预赛C组 日本77:88西班牙,埼玉超级竞技场
26日09:15,三人篮球,女子分组循环赛 日本 VS 中国,青海城市运动公园
26日09:40,三人篮球,女子分组循环赛 蒙古 VS 罗马尼亚,青海城市运动公园
26日10:35,三人篮球,男子分组循环赛 比利时 VS 中国,青海城市运动公园
26日11:00,三人篮球,男子分组循环赛 塞尔维亚 VS 日本,青海城市运动公园
26日13:00,三人篮球,女子分组循环赛 罗马尼亚 VS ROC,青海城市运动公园
26日13:25,三人篮球,女子分组循环赛 意大利 VS 日本,青海城市运动公园
26日14:00,三人篮球,男子分组循环赛 日本 VS ROC,青海城市运动公园
26日14:25,三人篮球,男子分组循环赛 拉脱维亚 VS 塞尔维亚,青海城市运动公园
26日16:30,三人篮球,女子分组循环赛 法国 VS 蒙古,青海城市运动公园
26日16:55,三人篮球,女子分组循环赛 意大利 VS 美国,青海城市运动公园
26日17:40,三人篮球,男子分组循环赛 荷兰 VS 比利时,青海城市运动公园
26日18:05,三人篮球,男子分组循环赛 波兰 VS 中国,青海城市运动公园
26日20:00,三人篮球,女子分组循环赛 美国 VS 中国,青海城市运动公园
26日20:25,三人篮球,女子分组循环赛 法国 VS ROC,青海城市运动公园
26日21:00,三人篮球,男子分组循环赛 ROC VS 拉脱维亚,青海城市运动公园
26日21:25,三人篮球,男子分组循环赛 荷兰 VS 波兰,青海城市运动公园
26日09:00,羽毛球,男子双打小组赛 - C组 园田 启悟/嘉村 健士 VS 楚/楚,武藏野之森综合体育广场
26日09:00,羽毛球,女子单打小组赛 - E组 科谢茨卡娅 叶弗根妮娅 VS 李,武藏野之森综合体育广场
26日09:00,乒乓球,男子单打第2轮 贾 VS 斯卡奇科夫 基里尔,东京体育馆
26日09:00,羽毛球,女子单打小组赛 - P组 齐 VS 杰奎特,武藏野之森综合体育广场
26日09:00,乒乓球,男子单打第2轮 阿尚塔 VS 阿波罗尼亚,东京体育馆
26日09:40,羽毛球,混合双打小组赛 - C组 乔丹·普拉文/奥克塔维亚尼·梅拉蒂 VS 渡边 雄太/东野 有纱,武藏野之森综合体育广场
26日09:40,羽毛球,混合双打小组赛 - A组 塔博林·罗宾/皮克·塞莱娜 VS 阿德姆·哈特姆·埃尔格姆/多哈·哈尼,武藏野之森综合体育广场
26日09:00,乒乓球,女子单打第2轮 巴拉佐娃·芭芭拉 VS 刘,东京体育馆
26日09:40,羽毛球,男子单打小组赛 - E组 科尔乔宁 VS 瓦拉贝尔,武藏野之森综合体育广场
26日09:00,乒乓球,女子单打第2轮 李倩·李倩 VS 雷伊,东京体育馆
26日10:20,羽毛球,男子双打小组赛 - A组 王齐麟/李洋 VS 莱恩/文迪,武藏野之森综合体育广场
26日10:00,乒乓球,男子单打第2轮 普察尔 VS 托基奇,东京体育馆
26日10:20,羽毛球,女子单打小组赛 - G组 苏拉娅 VS 法蒂玛斯·纳巴哈,武藏野之森综合体育广场
26日10:00,乒乓球,男子单打第2轮 王洋·王洋 VS 鲍威尔,东京体育馆
26日10:20,羽毛球,男子单打小组赛 - D组 卡尔乔·马克 VS 米沙·西尔伯曼,武藏野之森综合体育广场
26日10:00,乒乓球,女子单打第2轮 张 VS 埃德姆,东京体育馆
26日11:00,羽毛球,混合双打小组赛 - D组 邓俊文/谢影雪 VS 拉姆斯福斯/赫特里希,武藏野之森综合体育广场
26日10:00,乒乓球,女子单打第2轮 杨晓欣 VS 特里福诺娃,东京体育馆
26日11:00,羽毛球,混合双打小组赛 - B组 尔普瓦拉努克罗·德差波/德拉达那猜·沙西丽 VS 埃利斯/史密斯,武藏野之森综合体育广场
26日11:00,乒乓球,男子单打第2轮 奥马尔·阿萨尔 VS 寇磊,东京体育馆
26日11:00,羽毛球,女子单打小组赛 - C组 阿德索坎 VS 阿苏尔门迪,武藏野之森综合体育广场
26日11:00,乒乓球,男子单打第2轮 高斯 VS 马约罗斯·本斯,东京体育馆
26日11:40,羽毛球,混合双打小组赛 - A组 郑思维/黄雅琼 VS 徐承宰/蔡侑玎,武藏野之森综合体育广场
26日11:00,乒乓球,女子单打第2轮 于 VS 慕克吉,东京体育馆
26日11:40,羽毛球,男子双打小组赛 - A组 苏卡穆约·凯文/吉迪恩·马库斯 VS 谢蒂/兰基雷迪,武藏野之森综合体育广场
26日11:00,乒乓球,女子单打第2轮 米亥洛娃 波琳娜 VS 刘,东京体育馆
26日11:40,羽毛球,女子单打小组赛 - H组 席尔瓦 VS 乌莉京娜 玛丽娅,武藏野之森综合体育广场
26日13:30,乒乓球,男子单打第3轮 博尔 VS 格拉斯门科·基里尔,东京体育馆
26日12:20,羽毛球,女子双打小组赛 - D组 贾一凡/陈清晨 VS 斯托耶娃/斯托耶娃,武藏野之森综合体育广场
26日13:30,乒乓球,男子单打第3轮 张禹珍 VS 金克霍尔,东京体育馆
26日12:20,羽毛球,混合双打小组赛 - B组 纪凯尔/德尔鲁 VS 赫伯特·于/吴,武藏野之森综合体育广场
26日13:30,乒乓球,女子单打第3轮 陈梦 VS 莫雷特,东京体育馆
26日12:20,羽毛球,混合双打小组赛 - C组 克里斯蒂安森/波伊 VS 梁/萨默维尔,武藏野之森综合体育广场
26日13:30,乒乓球,女子单打第3轮 绍雅 VS 张,东京体育馆
26日13:00,羽毛球,女子单打小组赛 - P组 戴资颖 VS 阮翠玲,武藏野之森综合体育广场
26日14:30,乒乓球,男子单打第3轮 弗雷塔斯 VS 哈贝松,东京体育馆
26日13:00,羽毛球,男子单打小组赛 - C组 科登 VS 穆尼奥斯,武藏野之森综合体育广场
26日14:30,乒乓球,男子单打第3轮 皮切福德 VS 约尔奇,东京体育馆
26日13:00,羽毛球,男子单打小组赛 - I组 科埃略 VS 保罗,武藏野之森综合体育广场
26日14:30,乒乓球,男子单打第3轮 黃镇廷 VS 庄智渊,东京体育馆
26日17:00,羽毛球,女子单打小组赛 - D组 库巴 克里斯汀 VS 马西亚斯,武藏野之森综合体育广场
26日14:30,乒乓球,女子单打第3轮 石川 佳纯 VS 帕拉南·奥拉万,东京体育馆
26日17:00,羽毛球,女子双打小组赛 - A组 拉哈育·阿普里亚尼/波莉·格雷西娅 VS 史密斯/比尔切,武藏野之森综合体育广场
26日15:30,乒乓球,男子单打第3轮 张本 智和 VS 林兆恒,东京体育馆
26日17:00,羽毛球,男子双打小组赛 - B组 拉斯穆森/埃斯楚普 VS 俄佩约里/奥洛法,武藏野之森综合体育广场
26日15:30,乒乓球,女子单打第3轮 波尔卡诺娃 VS 巴特拉,东京体育馆
26日17:40,羽毛球,男子单打小组赛 - A组 许侊熙 VS 兰姆,武藏野之森综合体育广场
26日15:30,乒乓球,女子单打第3轮 萨马拉 VS 萨维塔布·素塔西尼,东京体育馆
26日17:40,羽毛球,混合双打小组赛 - D组 王懿律/黄东萍 VS 陈彭顺/吴刘英,武藏野之森综合体育广场
26日15:30,乒乓球,女子单打第3轮 冯天威 VS 肖,东京体育馆
26日17:40,羽毛球,女子单打小组赛 - F组 雷皮斯卡·马丁娜 VS 索托马约尔,武藏野之森综合体育广场
26日19:00,乒乓球,混合双打铜牌赛 莱贝松/元 VS 林昀儒/郑怡静,东京体育馆
26日18:20,羽毛球,女子双打小组赛 - B组 塞尔宁·谢丽尔/皮克·塞莱娜 VS 哈迪亚·胡斯尼/多哈·哈尼,武藏野之森综合体育广场
26日20:00,乒乓球,混合双打金牌赛 许昕/刘诗雯 VS 水谷 隼/伊藤 美诚,东京体育馆
26日18:20,羽毛球,男子双打小组赛 - D组 塞蒂亚万·亨德拉/阿赫桑·穆罕默德 VS 苏佑益/嘉亚伦,武藏野之森综合体育广场
26日18:20,羽毛球,男子单打小组赛 - F组 阮 VS 卡鲁纳拉特,武藏野之森综合体育广场
26日19:00,羽毛球,女子双打小组赛 - C组 李茵晖/杜玥 VS 萨默维尔/马帕萨,武藏野之森综合体育广场
26日19:00,羽毛球,男子单打小组赛 - G组 基恩·尤·罗 VS 马哈默德,武藏野之森综合体育广场
26日08:00,排球,男子预赛 - A组 伊朗3:0委内瑞拉,有明竞技场
26日10:05,排球,男子预赛 - B组 美国1:3ROC,有明竞技场
26日13:20,排球,男子预赛 - A组 波兰3:0意大利,有明竞技场
26日15:25,排球,男子预赛 - B组 法国3:0突尼斯,有明竞技场
26日18:40,排球,男子预赛 - A组 日本3:1加拿大,有明竞技场
26日20:45,排球,男子预赛 - B组 巴西3:2阿根廷,有明竞技场
26日08:00,沙滩排球,女子预赛 - D组 克莱斯/斯邦塞尔2:1克拉夫切诺卡/格劳迪娜,潮风公园
26日09:00,沙滩排球,男子预赛 - B组 克拉西利尼科夫 维亚切斯拉夫/斯托扬诺夫斯基 奥列格2:1加西奥拉·莱伊瓦/卢比奥·卡马戈,潮风公园
26日10:00,沙滩排球,女子预赛 - D组 席尔瓦·拉莫斯/席尔瓦2:0马科卡/卡丹比,潮风公园
26日11:00,沙滩排球,女子预赛 - A组 帕万/乌马纳·帕雷德斯2:0博尔格/苏德,潮风公园
26日14:00,沙滩排球,男子预赛 - A组 列舒科夫 伊利亚/谢缅诺夫 康斯坦丁2:0麦克休/舒曼,潮风公园
26日15:00,沙滩排球,女子预赛 - F组 贝特沙特/胡贝里2:0斯鲁科娃·马克塔/赫尔曼诺娃·芭芭拉,潮风公园
26日16:00,沙滩排球,男子预赛 - B组 佩鲁西奇·昂德雷/施韦纳·大卫0:2普拉文斯/托克斯,潮风公园
26日19:00,沙滩排球,女子预赛 - F组 村上 惠/石井 美树0:2路德维希/寇祖赫,潮风公园
26日20:00,沙滩排球,女子预赛 - A组 海德里希/梵尔格-德普雷2:0舒恩·拉伊萨/斯塔姆·卡佳,潮风公园
26日21:00,沙滩排球,男子预赛 - A组 莫勒/索鲁姆2:0埃雷拉·阿耶普斯/加维拉·科亚多,潮风公园
26日09:00,棒球/垒球,垒球开幕分组循环赛 日本1:2美国,横滨棒球场
26日13:30,棒球/垒球,垒球开幕分组循环赛 加拿大8:1意大利,横滨棒球场
26日19:00,棒球/垒球,垒球开幕分组循环赛 墨西哥4:1澳大利亚,横滨棒球场
26日08:30,曲棍球,男子分组循环赛B组 德国1:3比利时,大井曲棍球场
26日09:00,曲棍球,女子分组循环赛A组 荷兰4:0爱尔兰,大井曲棍球场
26日10:45,曲棍球,男子分组循环赛B组 英国3:1加拿大,大井曲棍球场
26日11:15,曲棍球,女子分组循环赛B组 澳大利亚6:0中国,大井曲棍球场
26日17:30,曲棍球,女子分组循环赛A组 南非1:4英国,大井曲棍球场
26日18:00,曲棍球,女子分组循环赛B组 阿根廷3:0西班牙,大井曲棍球场
26日19:45,曲棍球,女子分组循环赛B组 日本1:2新西兰,大井曲棍球场
26日20:15,曲棍球,女子分组循环赛A组 德国2:0印度,大井曲棍球场
26日08:00,手球,男子预赛A组 巴西29:34法国,国立代代木竞技场
26日10:00,手球,男子预赛A组 阿根廷25:33德国,国立代代木竞技场
26日13:15,手球,男子预赛B组 埃及27:32丹麦,国立代代木竞技场
26日15:15,手球,男子预赛A组 西班牙28:27挪威,国立代代木竞技场
26日18:30,手球,男子预赛B组 巴林25:26葡萄牙,国立代代木竞技场
26日20:30,手球,男子预赛B组 日本26:28瑞典,国立代代木竞技场
26日10:00,网球,女子单打第2轮 王蔷 VS 穆古鲁萨,有明网球森林公园
26日10:00,网球,女子单打第2轮 本西奇 VS 土居 美咲,有明网球森林公园
26日10:00,网球,男子单打第2轮 纳加尔 VS 梅德韦杰夫 丹尼尔,有明网球森林公园
26日10:00,网球,男子单打第2轮 卡雷诺·布斯塔 VS 西里奇,有明网球森林公园
26日10:00,网球,女子单打第2轮 费尔南德斯 VS 克赖奇科娃 ·巴尔博拉,有明网球森林公园
26日10:00,网球,男子单打第2轮 弗格尼尼 VS 格拉西莫夫 耶戈尔,有明网球森林公园
26日10:00,网球,女子单打第2轮 汤加诺维奇 VS 斯维托琳娜 埃琳娜,有明网球森林公园
26日10:00,网球,男子单打第2轮 珂珀弗 VS 普赛尔,有明网球森林公园
26日10:00,网球,女子单打第2轮 弗里德萨姆 VS 帕弗柳琴科娃 安娜斯塔锡娅,有明网球森林公园
26日10:00,网球,男子单打第2轮 米尔曼 VS 戴维多维奇·福基纳,有明网球森林公园
26日10:00,网球,女子单打第2轮 普利斯科娃·卡洛琳娜 VS 苏亚雷斯·纳瓦罗,有明网球森林公园
