时间,大项,比赛,场馆
27日09:00,篮球,女子预赛B组 日本74:70法国,埼玉超级竞技场
27日12:40,篮球,女子预赛B组 尼日利亚72:81美国,埼玉超级竞技场
27日16:20,篮球,女子预赛C组 澳大利亚70:85比利时,埼玉超级竞技场
27日20:00,篮球,女子预赛C组 波多黎各55:97中国,埼玉超级竞技场
27日16:00,足球,女子G组 新西兰0:2瑞典,宫城体育场
27日16:00,足球,女子G组 美国0:0澳大利亚,茨城县立鹿嶋足球场
27日19:00,足球,女子E组 智利0:1日本,宫城体育场
27日19:00,足球,女子E组 加拿大1:1英国,茨城县立鹿嶋足球场
27日19:30,足球,女子F组 荷兰8:2中国,横滨国际综合竞技场
27日19:30,足球,女子F组 巴西1:0赞比亚,埼玉体育场
27日12:30,三人篮球,女子分组循环赛 美国 VS 日本,青海城市运动公园
27日12:55,三人篮球,女子分组循环赛 中国 VS 蒙古,青海城市运动公园
27日13:40,三人篮球,男子分组循环赛 比利时 VS 波兰,青海城市运动公园
27日14:05,三人篮球,男子分组循环赛 中国 VS 日本,青海城市运动公园
27日16:00,三人篮球,女子分组循环赛 法国 VS 罗马尼亚,青海城市运动公园
27日16:25,三人篮球,女子分组循环赛 ROC VS 意大利,青海城市运动公园
27日17:00,三人篮球,男子分组循环赛 塞尔维亚 VS ROC,青海城市运动公园
27日17:25,三人篮球,男子分组循环赛 拉脱维亚 VS 荷兰,青海城市运动公园
27日19:30,三人篮球,女子1/4决赛 中国 VS 意大利,青海城市运动公园
27日20:00,三人篮球,男子1/4决赛 荷兰 VS ROC,青海城市运动公园
27日20:50,三人篮球,女子1/4决赛 日本 VS 法国,青海城市运动公园
27日21:20,三人篮球,男子1/4决赛 拉脱维亚 VS 日本,青海城市运动公园
27日09:00,乒乓球,男子单打第3轮 郑荣植 VS 乔尼斯,东京体育馆
27日09:00,乒乓球,男子单打第3轮 林昀儒 VS 凯尔伯格,东京体育馆
27日09:00,乒乓球,女子单打第3轮 艾尔兰德·布利特 VS 迪娜·梅谢里夫,东京体育馆
27日09:00,乒乓球,女子单打第3轮 斯早克斯 VS 刘,东京体育馆
27日09:00,羽毛球,男子双打小组赛 - C组 刘雨辰/李俊慧 VS 园田 启悟/嘉村 健士,武藏野之森综合体育广场
27日10:00,乒乓球,男子单打第3轮 樊振东 VS 莱贝松,东京体育馆
27日09:00,羽毛球,男子单打小组赛 - N组 阿比安 VS 马斯特 劳尔,武藏野之森综合体育广场
27日10:00,乒乓球,男子单打第3轮 阿鲁纳 VS 坪井,东京体育馆
27日09:00,羽毛球,男子单打小组赛 - J组 西兰特 谢尔盖 VS 克劳斯·格格利,武藏野之森综合体育广场
27日10:00,乒乓球,女子单打第3轮 杜凯琹 VS 申裕斌,东京体育馆
27日09:40,羽毛球,女子双打小组赛 - A组 广田 彩花/福岛 由纪 VS 拉哈育·阿普里亚尼/波莉·格雷西娅,武藏野之森综合体育广场
27日10:00,乒乓球,女子单打第3轮 郑怡静 VS 于梦雨,东京体育馆
27日09:40,羽毛球,女子双打小组赛 - A组 李孟妍/周美宽 VS 史密斯/比尔切,武藏野之森综合体育广场
27日11:00,乒乓球,男子单打第3轮 卡尔德拉诺 VS 托基奇,东京体育馆
27日09:40,羽毛球,男子单打小组赛 - K组 潘迪 VS 歇尔弗,武藏野之森综合体育广场
27日11:00,乒乓球,男子单打第3轮 马龙 VS 阿尚塔,东京体育馆
27日10:20,羽毛球,男子双打小组赛 - B组 渡边 雄太/远藤 大由 VS 拉斯穆森/埃斯楚普,武藏野之森综合体育广场
27日11:00,乒乓球,女子单打第3轮 伊藤 美诚 VS 于,东京体育馆
27日10:20,羽毛球,女子单打小组赛 - A组 伊吉特·内斯里汉 VS 多哈·哈尼,武藏野之森综合体育广场
27日11:00,乒乓球,女子单打第3轮 陈思羽 VS 张,东京体育馆
27日10:20,羽毛球,女子双打小组赛 - C组 图格森/弗尔高 VS 萨默维尔/马帕萨,武藏野之森综合体育广场
27日13:30,乒乓球,男子单打第3轮 奥夫特查洛夫 VS 斯卡奇科夫 基里尔,东京体育馆
27日11:00,羽毛球,女子双打小组赛 - D组 贾一凡/陈清晨 VS 孔熙容/金昭映,武藏野之森综合体育广场
27日13:30,乒乓球,男子单打第3轮 高兹 VS 高斯,东京体育馆
27日11:00,羽毛球,男子双打小组赛 - A组 苏卡穆约·凯文/吉迪恩·马库斯 VS 王齐麟/李洋,武藏野之森综合体育广场
27日13:30,乒乓球,女子单打第3轮 迪亚斯 VS 刘,东京体育馆
27日11:00,羽毛球,男子双打小组赛 - A组 谢蒂/兰基雷迪 VS 莱恩/文迪,武藏野之森综合体育广场
27日13:30,乒乓球,女子单打第3轮 田志希 VS 元,东京体育馆
27日11:40,羽毛球,女子单打小组赛 - M组 谭 VS 图扎尔,武藏野之森综合体育广场
27日14:30,乒乓球,男子单打第3轮 丹羽 孝希 VS 王洋·王洋,东京体育馆
27日11:40,羽毛球,男子双打小组赛 - D组 塞蒂亚万·亨德拉/阿赫桑·穆罕默德 VS 徐承宰/催率圭,武藏野之森综合体育广场
27日14:30,乒乓球,男子单打第3轮 弗尔克 VS 奥马尔·阿萨尔,东京体育馆
27日11:40,羽毛球,女子单打小组赛 - J组 张雁宜 VS 克谢尼娅·波利卡波娃,武藏野之森综合体育广场
27日14:30,乒乓球,女子单打第3轮 汉 VS 雷伊,东京体育馆
