时间,大项,比赛,场馆
07日10:30,篮球,男子金牌赛 法国82:87美国,埼玉超级竞技场
07日15:00,篮球,女子铜牌赛 塞尔维亚76:91法国,埼玉超级竞技场
07日19:00,篮球,男子铜牌赛 斯洛文尼亚93:107澳大利亚,埼玉超级竞技场
07日19:30,足球,男子金牌赛 巴西2:1西班牙,横滨国际综合竞技场
07日05:30,高尔夫,女子第4回合,霞关乡村俱乐部
07日12:30,排球,男子铜牌赛 阿根廷3:2巴西,有明竞技场
07日20:15,排球,男子金牌赛 法国3:2ROC,有明竞技场
07日09:00,沙滩排球,男子铜牌赛 普拉文斯/托克斯0:2艾哈迈德·蒂扬/谢里夫·尤努瑟,潮风公园
07日10:30,沙滩排球,男子金牌赛 莫勒/索鲁姆2:0克拉西利尼科夫 维亚切斯拉夫/斯托扬诺夫斯基 奥列格,潮风公园
07日11:00,棒球/垒球,棒球铜牌赛 多米尼加10:6韩国,横滨棒球场
07日18:00,棒球/垒球,棒球金牌赛 美国0:2日本,横滨棒球场
07日16:00,手球,男子铜牌赛 埃及31:33西班牙,国立代代木竞技场
07日20:00,手球,男子金牌赛 法国25:23丹麦,国立代代木竞技场
07日08:30,水球,女子7-8名排名赛 中国7:16加拿大,东京辰巳国际游泳场水球中心
07日10:00,水球,女子5-6名排名赛 荷兰7:14澳大利亚,东京辰巳国际游泳场水球中心
07日12:40,水球,女子铜牌赛 匈牙利11:9ROC,东京辰巳国际游泳场水球中心
07日15:30,水球,女子金牌赛 西班牙5:14美国,东京辰巳国际游泳场水球中心
07日09:00,跳水,男子10米跳台跳水半决赛,东京水上运动中心
07日14:15,跳水,男子10米跳台跳水决赛,东京水上运动中心
07日18:30,花样游泳,团体自由自选,东京水上运动中心
07日13:00,空手道,女子组手61公斤以上级淘汰赛A组,日本武道馆
07日13:07,空手道,女子组手61公斤以上级淘汰赛A组,日本武道馆
07日13:14,空手道,女子组手61公斤以上级淘汰赛B组,日本武道馆
07日13:21,空手道,女子组手61公斤以上级淘汰赛B组,日本武道馆
07日13:28,空手道,女子组手61公斤以上级淘汰赛A组,日本武道馆
07日13:35,空手道,女子组手61公斤以上级淘汰赛A组,日本武道馆
07日13:42,空手道,女子组手61公斤以上级淘汰赛B组,日本武道馆
07日13:49,空手道,女子组手61公斤以上级淘汰赛B组,日本武道馆
07日13:56,空手道,女子组手61公斤以上级淘汰赛A组,日本武道馆
07日14:03,空手道,女子组手61公斤以上级淘汰赛A组,日本武道馆
07日14:10,空手道,女子组手61公斤以上级淘汰赛B组,日本武道馆
07日14:17,空手道,女子组手61公斤以上级淘汰赛B组,日本武道馆
07日14:24,空手道,女子组手61公斤以上级淘汰赛A组,日本武道馆
07日14:31,空手道,女子组手61公斤以上级淘汰赛A组,日本武道馆
07日14:38,空手道,女子组手61公斤以上级淘汰赛B组,日本武道馆
07日14:45,空手道,女子组手61公斤以上级淘汰赛B组,日本武道馆
07日14:52,空手道,女子组手61公斤以上级淘汰赛A组,日本武道馆
07日14:59,空手道,女子组手61公斤以上级淘汰赛A组,日本武道馆
07日15:06,空手道,女子组手61公斤以上级淘汰赛B组,日本武道馆
07日15:13,空手道,女子组手61公斤以上级淘汰赛B组,日本武道馆
07日15:50,空手道,男子组手75公斤以上级淘汰赛A组,日本武道馆
07日15:57,空手道,男子组手75公斤以上级淘汰赛A组,日本武道馆
07日16:04,空手道,男子组手75公斤以上级淘汰赛B组,日本武道馆
07日16:11,空手道,男子组手75公斤以上级淘汰赛B组,日本武道馆
07日16:18,空手道,男子组手75公斤以上级淘汰赛A组,日本武道馆
07日16:25,空手道,男子组手75公斤以上级淘汰赛A组,日本武道馆
07日16:32,空手道,男子组手75公斤以上级淘汰赛B组,日本武道馆
07日16:39,空手道,男子组手75公斤以上级淘汰赛B组,日本武道馆
07日16:46,空手道,男子组手75公斤以上级淘汰赛A组,日本武道馆
07日16:53,空手道,男子组手75公斤以上级淘汰赛A组,日本武道馆
07日17:00,空手道,男子组手75公斤以上级淘汰赛B组,日本武道馆
07日17:07,空手道,男子组手75公斤以上级淘汰赛B组,日本武道馆
07日17:14,空手道,男子组手75公斤以上级淘汰赛A组,日本武道馆
07日17:21,空手道,男子组手75公斤以上级淘汰赛A组,日本武道馆
07日17:28,空手道,男子组手75公斤以上级淘汰赛B组,日本武道馆
07日17:35,空手道,男子组手75公斤以上级淘汰赛B组,日本武道馆
07日17:42,空手道,男子组手75公斤以上级淘汰赛A组,日本武道馆
07日17:49,空手道,男子组手75公斤以上级淘汰赛A组,日本武道馆
07日17:56,空手道,男子组手75公斤以上级淘汰赛B组,日本武道馆
07日18:03,空手道,男子组手75公斤以上级淘汰赛B组,日本武道馆
07日18:20,空手道,女子组手61公斤以上级半决赛,日本武道馆
07日18:28,空手道,女子组手61公斤以上级半决赛,日本武道馆
07日18:37,空手道,男子组手75公斤以上级半决赛,日本武道馆
07日18:45,空手道,男子组手75公斤以上级半决赛,日本武道馆
07日18:55,空手道,女子组手61公斤以上级金牌赛,日本武道馆
07日19:05,空手道,男子组手75公斤以上级金牌赛,日本武道馆
07日13:00,拳击,男子蝇量级 (48-52公斤) 决赛 帕拉姆 VS 亚菲,国技馆
07日13:15,拳击,女子蝇量级 (48-51公斤) 决赛 卡基罗格鲁·巴斯纳兹 VS 克拉斯提娃,国技馆
07日13:45,拳击,男子中量级 (69-75公斤) 决赛 赫日尼亚克 亚历山大 VS 索萨,国技馆
07日14:10,拳击,女子沉量级 (64-69公斤) 决赛 苏尔梅内利·布塞纳兹 VS 谷红,国技馆
07日17:45,摔跤,男子自由式65公斤复活赛 奥奇尔·图尔加 VS 穆苏卡耶夫·伊斯梅尔,幕张展览馆 A厅
07日17:45,摔跤,男子自由式97公斤复活赛 沙里福夫 沙里夫 VS 奥季卡泽 埃利兹巴尔,幕张展览馆 A厅
07日17:45,摔跤,女子自由式50公斤复活赛 奥希尔·纳蒙采采格 VS 耶佩斯·古斯曼,幕张展览馆 A厅
07日17:52,摔跤,男子自由式65公斤复活赛 迪亚塔 VS 尼亚兹别科夫·道莱特,幕张展览馆 A厅
07日17:52,摔跤,男子自由式97公斤复活赛 斯汀 VS 康耶多-鲁阿诺,幕张展览馆 A厅
07日17:52,摔跤,女子自由式50公斤复活赛 古斯曼·洛佩斯 VS 莉娃奇 奥克桑娜,幕张展览馆 A厅
07日18:30,摔跤,男子自由式65公斤级铜牌赛 穆苏卡耶夫·伊斯梅尔 VS 拉希多夫 加吉穆拉德,幕张展览馆 A厅
07日18:40,摔跤,男子自由式65公斤级铜牌赛 尼亚兹别科夫·道莱特 VS 巴让,幕张展览馆 A厅
07日18:50,摔跤,男子自由式65公斤级决赛 乙黑 拓斗 VS 阿利耶夫 加吉,幕张展览馆 A厅
07日19:00,摔跤,男子自由式97公斤级铜牌赛 沙里福夫 沙里夫 VS 萨拉斯·佩雷斯,幕张展览馆 A厅
07日19:10,摔跤,男子自由式97公斤级铜牌赛 康耶多-鲁阿诺 VS 卡拉德尼兹·苏莱曼,幕张展览馆 A厅
07日19:20,摔跤,男子自由式97公斤级决赛 萨杜拉耶夫 阿布杜尔拉希德 VS 施耐德,幕张展览馆 A厅
07日19:55,摔跤,女子自由式50公斤级铜牌赛 奥希尔·纳蒙采采格 VS 斯塔德妮克 玛丽娅,幕张展览馆 A厅
07日20:05,摔跤,女子自由式50公斤级铜牌赛 莉娃奇 奥克桑娜 VS 希尔德布兰特,幕张展览馆 A厅
07日20:15,摔跤,女子自由式50公斤级决赛 须崎 优衣 VS 孙亚楠,幕张展览馆 A厅
07日14:30,场地自行车,女子争先赛1/8决赛 - 第1组 弗里德里希 VS 沃伊诺娃 安娜斯塔锡娅,伊豆场地自行车馆
07日14:33,场地自行车,女子争先赛1/8决赛 - 第2组 米歇尔 VS 安德鲁斯,伊豆场地自行车馆
07日14:36,场地自行车,女子争先赛1/8决赛 - 第3组 欣泽 VS 钟天使,伊豆场地自行车馆
07日14:39,场地自行车,女子争先赛1/8决赛 - 第4组 李慧诗 VS 格罗,伊豆场地自行车馆
07日14:42,场地自行车,女子争先赛1/8决赛 - 第5组 马尚 VS 詹尼斯特,伊豆场地自行车馆
07日14:45,场地自行车,女子争先赛1/8决赛 - 第6组 布拉斯彭宁克斯·莎恩 VS 斯塔丽科娃 叶连娜,伊豆场地自行车馆
07日14:48,场地自行车,男子凯林赛第1轮 - 第1组,伊豆场地自行车馆
07日14:53,场地自行车,男子凯林赛第1轮 - 第2组,伊豆场地自行车馆
07日14:58,场地自行车,男子凯林赛第1轮 - 第3组,伊豆场地自行车馆
