时间,大项,比赛,场馆
04日09:00,篮球,女子1/4决赛 中国70:77塞尔维亚,埼玉超级竞技场
04日12:40,篮球,女子1/4决赛 澳大利亚55:79美国,埼玉超级竞技场
04日16:20,篮球,女子1/4决赛 日本86:85比利时,埼玉超级竞技场
04日20:00,篮球,女子1/4决赛 西班牙64:67法国,埼玉超级竞技场
04日09:00,乒乓球,女子团体半决赛 中国 VS 德国,东京体育馆
04日13:30,乒乓球,男子团体半决赛 中国 VS 韩国,东京体育馆
04日18:30,乒乓球,男子团体半决赛 日本 VS 德国,东京体育馆
04日06:30,高尔夫,女子第1回合,霞关乡村俱乐部
04日08:00,排球,女子1/4决赛 韩国3:2土耳其,有明竞技场
04日12:00,排球,女子1/4决赛 多米尼加0:3美国,有明竞技场
04日16:00,排球,女子1/4决赛 塞尔维亚3:0意大利,有明竞技场
04日20:30,排球,女子1/4决赛 巴西3:1ROC,有明竞技场
04日08:00,沙滩排球,男子1/4决赛 列舒科夫 伊利亚/谢缅诺夫 康斯坦丁0:2莫勒/索鲁姆,潮风公园
04日09:00,沙滩排球,男子1/4决赛 普拉文斯/托克斯2:0塞鲁蒂/莫拉伊斯·菲略,潮风公园
04日20:00,沙滩排球,男子1/4决赛 塔勒/维克勒0:2克拉西利尼科夫 维亚切斯拉夫/斯托扬诺夫斯基 奥列格,潮风公园
04日21:00,沙滩排球,男子1/4决赛 艾哈迈德·蒂扬/谢里夫·尤努瑟2:0卢波/尼古拉,潮风公园
04日11:00,棒球/垒球,棒球第2轮复活赛 多米尼加1:3美国,横滨棒球场
04日18:00,棒球/垒球,棒球半决赛 韩国2:5日本,横滨棒球场
04日09:30,曲棍球,女子半决赛 荷兰5:1英国,大井曲棍球场
04日18:00,曲棍球,女子半决赛 阿根廷2:1印度,大井曲棍球场
04日08:30,手球,女子1/4决赛 黑山26:32ROC,国立代代木竞技场
04日12:15,手球,女子1/4决赛 挪威26:22匈牙利,国立代代木竞技场
04日16:00,手球,女子1/4决赛 瑞典39:30韩国,国立代代木竞技场
04日19:45,手球,女子1/4决赛 法国32:22荷兰,国立代代木竞技场
04日13:00,水球,男子1/4决赛 美国8:12西班牙,东京辰巳国际游泳场水球中心
04日14:30,水球,男子1/4决赛 希腊10:4黑山,东京辰巳国际游泳场水球中心
04日17:20,水球,男子1/4决赛 意大利6:10塞尔维亚,东京辰巳国际游泳场水球中心
04日18:50,水球,男子1/4决赛 匈牙利15:11克罗地亚,东京辰巳国际游泳场水球中心
04日14:00,跳水,女子10米跳台跳水预赛,东京水上运动中心
04日05:30,马拉松游泳,女子10公里,御台场海滨公园
04日18:30,花样游泳,双人自由自选决赛,东京水上运动中心
04日10:00,摔跤,男子古典式87公斤复活赛 阿济斯别科夫 阿塔别克 VS 库德拉,幕张展览馆 A厅
04日10:00,摔跤,女子自由式62公斤复活赛 格里戈耶娃 VS 印克采,幕张展览馆 A厅
04日10:00,摔跤,男子古典式67公斤复活赛 奥尔塔·阿塞维多 VS 斯塔布勒,幕张展览馆 A厅
04日10:07,摔跤,男子古典式87公斤复活赛 达图纳什维利 VS 西德阿扎拉,幕张展览馆 A厅
04日10:07,摔跤,女子自由式62公斤复活赛 奥弗恰萝娃 柳博维 VS 约翰松,幕张展览馆 A厅
04日10:07,摔跤,男子古典式67公斤复活赛 贝杰瑞哈斯 VS 苏尔科夫 阿尔乔姆,幕张展览馆 A厅
04日10:30,摔跤,男子自由式86公斤级1/8决赛 亚兹达尼查拉蒂·哈桑 VS 沙皮耶夫 亚夫赖尔,幕张展览馆 A厅
04日10:30,摔跤,女子自由式57公斤级1/8决赛 川井 梨纱子 VS 卡马拉,幕张展览馆 A厅
04日10:30,摔跤,男子自由式57公斤级1/8决赛 麦西奇 VS 高桥 侑希,幕张展览馆 A厅
04日10:37,摔跤,男子自由式86公斤级1/8决赛 吕克穆特 VS 本菲德加拉,幕张展览馆 A厅
04日10:37,摔跤,女子自由式57公斤级1/8决赛 博尔赛汗·孔戈尔祖尔 VS 里维埃,幕张展览馆 A厅
04日10:37,摔跤,男子自由式57公斤级1/8决赛 萨纳耶夫·努里斯拉姆 VS 伊乌·纳法夫,幕张展览馆 A厅
04日10:44,摔跤,男子自由式86公斤级1/8决赛 戈森·奥斯曼 VS 高谷 惣亮,幕张展览馆 A厅
04日10:44,摔跤,女子自由式57公斤级1/8决赛 基特 塔季扬娜 VS 希瓦尔·布塞塔,幕张展览馆 A厅
04日10:44,摔跤,男子自由式57公斤级1/8决赛 克尔巴希 VS 万赫洛夫,幕张展览馆 A厅
04日10:51,摔跤,男子自由式86公斤级1/8决赛 马科耶夫·鲍里斯 VS 奈丰诺夫 阿尔图尔,幕张展览馆 A厅
04日10:51,摔跤,女子自由式57公斤级1/8决赛 毛利斯 VS 荣宁宁,幕张展览馆 A厅
04日10:51,摔跤,男子自由式57公斤级1/8决赛 蒂格雷罗斯·乌尔巴诺 VS 拉维,幕张展览馆 A厅
04日10:58,摔跤,男子自由式86公斤级1/8决赛 阿明 VS 伊斯基耶多·门德斯,幕张展览馆 A厅
04日10:58,摔跤,女子自由式57公斤级1/8决赛 库拉奇金娜 伊琳娜 VS 安舒,幕张展览馆 A厅
04日10:58,摔跤,男子自由式57公斤级1/8决赛 阿特利·苏莱曼 VS 阿特里纳哈奇·礼萨,幕张展览馆 A厅
04日11:05,摔跤,男子自由式86公斤级1/8决赛 泰勒三世 VS 沙班诺夫 阿利,幕张展览馆 A厅
04日11:05,摔跤,女子自由式57公斤级1/8决赛 瓦伦西亚·埃斯科托 VS 科布洛娃 瓦列丽娅,幕张展览馆 A厅
04日11:05,摔跤,男子自由式57公斤级1/8决赛 哈鲁迪扬 VS 埃尔德内巴特·贝克巴亚尔,幕张展览馆 A厅
04日11:12,摔跤,男子自由式86公斤级1/8决赛 林祖沈 VS 安布罗西奥·格雷伊福,幕张展览馆 A厅
04日11:12,摔跤,女子自由式57公斤级1/8决赛 维尔泽辛·乔维塔 VS 尼科洛娃,幕张展览馆 A厅
04日11:12,摔跤,男子自由式57公斤级1/8决赛 刘明瑚 VS 阿布杜尔拉耶夫 古洛姆容,幕张展览馆 A厅
04日11:19,摔跤,男子自由式86公斤级1/8决赛 阿焦莫 VS 普尼亚,幕张展览馆 A厅
04日11:19,摔跤,女子自由式57公斤级1/8决赛 妮奇塔 安娜斯塔锡娅 VS 阿德库罗耶,幕张展览馆 A厅
04日11:19,摔跤,男子自由式57公斤级1/8决赛 吉尔曼 VS 乌古耶夫 扎武尔,幕张展览馆 A厅
