时间,大项,比赛,场馆
02日09:00,篮球,女子预赛B组 尼日利亚83:102日本,埼玉超级竞技场
02日12:40,篮球,女子预赛B组 法国82:93美国,埼玉超级竞技场
02日16:20,篮球,女子预赛C组 中国74:62比利时,埼玉超级竞技场
02日20:00,篮球,女子预赛C组 澳大利亚78:59波多黎各,埼玉超级竞技场
02日16:00,足球,女子半决赛 美国0:1加拿大,茨城县立鹿嶋足球场
02日19:00,足球,女子半决赛 澳大利亚0:1瑞典,横滨国际综合竞技场
02日09:00,乒乓球,男子团体16强 日本 VS 澳大利亚,东京体育馆
02日09:00,乒乓球,男子团体16强 美国 VS 瑞典,东京体育馆
02日09:00,乒乓球,女子团体16强 法国 VS 新加坡,东京体育馆
02日09:00,乒乓球,女子团体16强 韩国 VS 波兰,东京体育馆
02日13:30,乒乓球,女子团体1/4决赛 中国香港 VS 罗马尼亚,东京体育馆
02日13:30,乒乓球,男子团体1/4决赛 巴西 VS 韩国,东京体育馆
02日18:30,乒乓球,女子团体1/4决赛 中国台北 VS 日本,东京体育馆
02日18:30,乒乓球,男子团体1/4决赛 中国 VS 法国,东京体育馆
02日12:00,羽毛球,女子双打铜牌赛 申昇瓒/李绍希 VS 孔熙容/金昭映,武藏野之森综合体育广场
02日12:50,羽毛球,女子双打金牌赛 拉哈育·阿普里亚尼/波莉·格雷西娅 VS 贾一凡/陈清晨,武藏野之森综合体育广场
02日19:00,羽毛球,男子单打铜牌赛 科登 VS 金廷·安东尼,武藏野之森综合体育广场
02日19:50,羽毛球,男子单打金牌赛 埃克森 VS 谌龙,武藏野之森综合体育广场
02日08:00,排球,女子预赛 - A组 塞尔维亚3:0韩国,有明竞技场
02日10:05,排球,女子预赛 - B组 美国3:2意大利,有明竞技场
02日13:20,排球,女子预赛 - B组 ROC2:3土耳其,有明竞技场
02日15:25,排球,女子预赛 - B组 中国3:0阿根廷,有明竞技场
02日18:40,排球,女子预赛 - A组 日本1:3多米尼加,有明竞技场
02日20:45,排球,女子预赛 - A组 巴西3:0肯尼亚,有明竞技场
02日08:00,沙滩排球,女子16强 埃切瓦里亚·贝尼特斯/马丁内斯·奥尔特加0:2罗斯/克兰曼,潮风公园
02日09:00,沙滩排球,女子16强 帕万/乌马纳·帕雷德斯2:0费尔南德斯·斯特內/巴克里索·麦克米兰,潮风公园
02日12:00,沙滩排球,男子16强 奥斯卡·施密特/贡萨尔维斯·奥利维拉·儒尼奥尔0:2普拉文斯/托克斯,潮风公园
02日13:00,沙滩排球,男子16强 列舒科夫 伊利亚/谢缅诺夫 康斯坦丁2:0格里马尔特/格里马尔特,潮风公园
02日16:00,沙滩排球,男子16强 费杰莱克·格尔泽格斯/布瑞尔·迈克尔0:2卢波/尼古拉,潮风公园
02日17:00,沙滩排球,男子16强 埃雷拉·阿耶普斯/加维拉·科亚多0:2克拉西利尼科夫 维亚切斯拉夫/斯托扬诺夫斯基 奥列格,潮风公园
02日20:00,沙滩排球,男子16强 加西奥拉·莱伊瓦/卢比奥·卡马戈0:1塞鲁蒂/莫拉伊斯·菲略,潮风公园
02日21:00,沙滩排球,男子16强 吉布/克拉布1:2塔勒/维克勒,潮风公园
02日11:00,棒球/垒球,棒球第2轮 以色列1:11韩国,横滨棒球场
02日18:00,棒球/垒球,棒球第2轮 美国6:7日本,横滨棒球场
02日08:30,曲棍球,女子1/4决赛 德国0:3阿根廷,大井曲棍球场
02日11:00,曲棍球,女子1/4决赛 澳大利亚0:1印度,大井曲棍球场
02日17:30,曲棍球,女子1/4决赛 荷兰3:0新西兰,大井曲棍球场
02日20:00,曲棍球,女子1/4决赛 西班牙2:2英国,大井曲棍球场
02日08:00,手球,女子预赛A组 韩国31:31安哥拉,国立代代木竞技场
02日10:00,手球,女子预赛B组 法国29:22巴西,国立代代木竞技场
02日13:15,手球,女子预赛B组 西班牙31:34ROC,国立代代木竞技场
02日15:15,手球,女子预赛B组 匈牙利26:23瑞典,国立代代木竞技场
02日18:30,手球,女子预赛A组 荷兰30:29黑山,国立代代木竞技场
02日20:30,手球,女子预赛A组 挪威37:25日本,国立代代木竞技场
02日09:00,水球,男子预赛A组 匈牙利5:5意大利,东京辰巳国际游泳场水球中心
02日10:30,水球,男子预赛A组 希腊14:5美国,东京辰巳国际游泳场水球中心
02日13:00,水球,男子预赛B组 塞尔维亚13:6黑山,东京辰巳国际游泳场水球中心
02日14:30,水球,男子预赛B组 西班牙8:4克罗地亚,东京辰巳国际游泳场水球中心
02日17:20,水球,男子预赛A组 日本24:9南非,东京辰巳国际游泳场水球中心
02日18:50,水球,男子预赛B组 澳大利亚15:7哈萨克斯坦,东京辰巳国际游泳场水球中心
02日14:00,跳水,男子3米跳板跳水预赛,东京水上运动中心
02日18:30,花样游泳,双人自由自选预赛,东京水上运动中心
02日10:00,摔跤,男子古典式60公斤复活赛 夫格特 VS 瓦里汗·赛里克,幕张展览馆 A厅
02日10:00,摔跤,男子古典式130公斤复活赛 阿莱克苏克 丘拉留 VS 米尔扎德·阿敏,幕张展览馆 A厅
02日10:00,摔跤,女子自由式76公斤复活赛 扎伊内布·斯加伊尔 VS 阿达尔·亚塞明,幕张展览馆 A厅
02日10:07,摔跤,男子古典式60公斤复活赛 哈菲佐夫 VS 耶梅利因 谢尔盖,幕张展览馆 A厅
02日10:07,摔跤,男子古典式130公斤复活赛 库斯马宁 VS 谢缅诺夫 谢尔盖,幕张展览馆 A厅
02日10:07,摔跤,女子自由式76公斤复活赛 玛勒扎柳克 娃锡莉萨 VS 周倩,幕张展览馆 A厅
02日10:30,摔跤,男子古典式77公斤级1/8决赛 洛林茨·塔马斯 VS 齐德·埃特·奥克拉姆,幕张展览馆 A厅
02日10:30,摔跤,男子古典式97公斤级1/8决赛 耶夫洛耶夫 穆萨 VS 梅里亚 吉奥尔吉,幕张展览馆 A厅
02日10:30,摔跤,女子自由式68公斤级1/8决赛 斯塔克 门萨 VS 土性 沙罗,幕张展览馆 A厅
02日10:37,摔跤,男子古典式77公斤级1/8决赛 扎德拉耶夫·德梅乌 VS 屋比久 翔平,幕张展览馆 A厅
02日10:37,摔跤,男子古典式97公斤级1/8决赛 索克·亚历克斯 VS 奥马罗夫·阿图尔,幕张展览馆 A厅
02日10:37,摔跤,女子自由式68公斤级1/8决赛 周凤 VS 桑切斯·罗德里格斯,幕张展览馆 A厅
02日10:44,摔跤,男子古典式77公斤级1/8决赛 姆纳萨卡尼安 VS 斯塔切维奇,幕张展览馆 A厅
02日10:44,摔跤,男子古典式97公斤级1/8决赛 卡贾亚 VS 汉考克,幕张展览馆 A厅
02日10:44,摔跤,女子自由式68公斤级1/8决赛 科尔达斯 VS 切勒卡索娃 阿勒拉,幕张展览馆 A厅
02日10:51,摔跤,男子古典式77公斤级1/8决赛 佩尼亚·弗洛雷斯 VS 杰拉伊·穆罕默德阿里,幕张展览馆 A厅
