时间,大项,比赛,场馆
05日12:15,篮球,男子半决赛 美国97:78澳大利亚,埼玉超级竞技场
05日19:00,篮球,男子半决赛 法国90:89斯洛文尼亚,埼玉超级竞技场
05日16:00,足球,女子铜牌赛 澳大利亚3:4美国,茨城县立鹿嶋足球场
05日10:00,乒乓球,女子团体铜牌赛 德国 VS 中国香港,东京体育馆
05日18:30,乒乓球,女子团体金牌赛 中国 VS 日本,东京体育馆
05日06:30,高尔夫,女子第2回合,霞关乡村俱乐部
05日12:00,排球,男子半决赛 巴西1:3ROC,有明竞技场
05日20:00,排球,男子半决赛 法国3:0阿根廷,有明竞技场
05日08:00,沙滩排球,女子半决赛 海德里希/梵尔格-德普雷0:2罗斯/克兰曼,潮风公园
05日09:00,沙滩排球,女子半决赛 阿塔乔/克兰西2:0克拉夫切诺卡/格劳迪娜,潮风公园
05日20:00,沙滩排球,男子半决赛 莫勒/索鲁姆2:0普拉文斯/托克斯,潮风公园
05日21:00,沙滩排球,男子半决赛 艾哈迈德·蒂扬/谢里夫·尤努瑟0:2克拉西利尼科夫 维亚切斯拉夫/斯托扬诺夫斯基 奥列格,潮风公园
05日18:00,棒球/垒球,棒球半决赛 韩国2:7美国,横滨棒球场
05日09:30,曲棍球,男子铜牌赛 德国4:5印度,大井曲棍球场
05日18:00,曲棍球,男子金牌赛 澳大利亚1:1比利时,大井曲棍球场
05日16:00,手球,男子半决赛 法国27:23埃及,国立代代木竞技场
05日20:00,手球,男子半决赛 西班牙23:27丹麦,国立代代木竞技场
05日13:00,水球,女子5-8名排名赛 中国6:13荷兰,东京辰巳国际游泳场水球中心
05日14:30,水球,女子半决赛 ROC11:15美国,东京辰巳国际游泳场水球中心
05日17:20,水球,女子5-8名排名赛 澳大利亚14:12加拿大,东京辰巳国际游泳场水球中心
05日18:50,水球,女子半决赛 西班牙8:6匈牙利,东京辰巳国际游泳场水球中心
05日09:00,跳水,女子10米跳台跳水半决赛,东京水上运动中心
05日14:00,跳水,女子10米跳台跳水决赛,东京水上运动中心
05日05:30,马拉松游泳,男子10公里,御台场海滨公园
05日09:00,空手道,女子个人型淘汰赛 - A组 - 第1型赛,日本武道馆
05日09:20,空手道,女子个人型淘汰赛 - B组 - 第1型赛,日本武道馆
05日09:40,空手道,女子个人型淘汰赛 - A组 - 第2型赛,日本武道馆
05日10:00,空手道,女子个人型淘汰赛 - B组 - 第2型赛,日本武道馆
05日10:25,空手道,女子个人型排名赛 - A组,日本武道馆
05日10:37,空手道,女子个人型排名赛 - B组,日本武道馆
05日11:05,空手道,男子组手67公斤级淘汰赛B组,日本武道馆
05日11:12,空手道,男子组手67公斤级淘汰赛B组,日本武道馆
05日10:00,摔跤,男子自由式57公斤复活赛 蒂格雷罗斯·乌尔巴诺 VS 万赫洛夫,幕张展览馆 A厅
05日11:19,空手道,男子组手67公斤级淘汰赛B组,日本武道馆
05日11:26,空手道,男子组手67公斤级淘汰赛A组,日本武道馆
05日10:00,摔跤,男子自由式86公斤复活赛 沙皮耶夫 亚夫赖尔 VS 吕克穆特,幕张展览馆 A厅
05日11:33,空手道,男子组手67公斤级淘汰赛A组,日本武道馆
05日11:40,空手道,男子组手67公斤级淘汰赛B组,日本武道馆
05日10:00,摔跤,女子自由式57公斤复活赛 卡马拉 VS 博尔赛汗·孔戈尔祖尔,幕张展览馆 A厅
05日11:47,空手道,男子组手67公斤级淘汰赛B组,日本武道馆
05日11:54,空手道,男子组手67公斤级淘汰赛B组,日本武道馆
05日10:07,摔跤,男子自由式57公斤复活赛 吉尔曼 VS 阿布杜尔拉耶夫 古洛姆容,幕张展览馆 A厅
05日12:01,空手道,男子组手67公斤级淘汰赛A组,日本武道馆
05日10:07,摔跤,男子自由式86公斤复活赛 沙班诺夫 阿利 VS 阿明,幕张展览馆 A厅
05日12:08,空手道,男子组手67公斤级淘汰赛A组,日本武道馆
05日12:15,空手道,男子组手67公斤级淘汰赛B组,日本武道馆
05日10:07,摔跤,女子自由式57公斤复活赛 安舒 VS 科布洛娃 瓦列丽娅,幕张展览馆 A厅
05日12:22,空手道,男子组手67公斤级淘汰赛B组,日本武道馆
