时间,大项,比赛,场馆
03日09:00,篮球,男子1/4决赛 斯洛文尼亚94:70德国,埼玉超级竞技场
03日12:40,篮球,男子1/4决赛 西班牙81:95美国,埼玉超级竞技场
03日16:20,篮球,男子1/4决赛 意大利75:84法国,埼玉超级竞技场
03日20:00,篮球,男子1/4决赛 澳大利亚97:59阿根廷,埼玉超级竞技场
03日16:00,足球,男子半决赛 墨西哥0:0巴西,茨城县立鹿嶋足球场
03日19:00,足球,男子半决赛 日本0:1西班牙,埼玉体育场
03日09:00,乒乓球,女子团体1/4决赛 韩国 VS 德国,东京体育馆
03日09:00,乒乓球,男子团体1/4决赛 日本 VS 瑞典,东京体育馆
03日13:30,乒乓球,女子团体1/4决赛 中国 VS 新加坡,东京体育馆
03日13:30,乒乓球,男子团体1/4决赛 中国台北 VS 德国,东京体育馆
03日18:30,乒乓球,女子团体半决赛 中国香港 VS 日本,东京体育馆
03日08:00,排球,男子1/4决赛 加拿大0:3ROC,有明竞技场
03日12:00,排球,男子1/4决赛 日本0:3巴西,有明竞技场
03日16:00,排球,男子1/4决赛 意大利2:3阿根廷,有明竞技场
03日20:30,排球,男子1/4决赛 波兰2:3法国,有明竞技场
03日08:00,沙滩排球,女子1/4决赛 路德维希/寇祖赫0:2罗斯/克兰曼,潮风公园
03日09:00,沙滩排球,女子1/4决赛 席尔瓦·拉莫斯/席尔瓦1:2海德里希/梵尔格-德普雷,潮风公园
03日20:00,沙滩排球,女子1/4决赛 克拉夫切诺卡/格劳迪娜2:1班斯利/威尔克森,潮风公园
03日21:00,沙滩排球,女子1/4决赛 帕万/乌马纳·帕雷德斯1:2阿塔乔/克兰西,潮风公园
03日18:00,棒球/垒球,棒球第1轮复活赛 以色列6:7多米尼加,横滨棒球场
03日09:30,曲棍球,男子半决赛 印度2:5比利时,大井曲棍球场
03日18:00,曲棍球,男子半决赛 澳大利亚3:1德国,大井曲棍球场
03日08:30,手球,男子1/4决赛 法国42:28巴林,国立代代木竞技场
03日12:15,手球,男子1/4决赛 瑞典33:34西班牙,国立代代木竞技场
03日16:00,手球,男子1/4决赛 丹麦31:25挪威,国立代代木竞技场
03日19:45,手球,男子1/4决赛 德国26:31埃及,国立代代木竞技场
03日13:00,水球,女子1/4决赛 加拿大5:16美国,东京辰巳国际游泳场水球中心
03日14:30,水球,女子1/4决赛 西班牙11:7中国,东京辰巳国际游泳场水球中心
03日17:20,水球,女子1/4决赛 荷兰11:14匈牙利,东京辰巳国际游泳场水球中心
03日18:50,水球,女子1/4决赛 澳大利亚8:9ROC,东京辰巳国际游泳场水球中心
03日09:00,跳水,男子3米跳板跳水半决赛,东京水上运动中心
03日14:00,跳水,男子3米跳板跳水决赛,东京水上运动中心
03日18:30,花样游泳,双人技术自选,东京水上运动中心
03日10:00,摔跤,男子古典式97公斤复活赛 梅里亚 吉奥尔吉 VS 索克·亚历克斯,幕张展览馆 A厅
03日10:00,摔跤,女子自由式68公斤复活赛 土性 沙罗 VS 周凤,幕张展览馆 A厅
03日10:00,摔跤,男子古典式77公斤复活赛 拉姆杰德·马非 VS 侯赛因诺夫 拉菲格,幕张展览馆 A厅
03日10:07,摔跤,男子古典式97公斤复活赛 朱祖普别科夫 乌祖尔 VS 萨沃莱宁,幕张展览馆 A厅
03日10:07,摔跤,女子自由式68公斤复活赛 曼诺洛娃 埃莉斯 VS 茹曼娜扎萝娃 梅埃丽姆,幕张展览馆 A厅
03日10:30,摔跤,男子古典式67公斤级资格赛 梅拉贝特 VS 柳汉寿,幕张展览馆 A厅
03日10:30,摔跤,男子古典式87公斤级1/8决赛 洛林茨·维克多 VS 阿济斯别科夫 阿塔别克,幕张展览馆 A厅
03日10:30,摔跤,女子自由式62公斤级1/8决赛 滕内别科娃 艾苏卢乌 VS 格里戈耶娃,幕张展览馆 A厅
03日10:37,摔跤,男子古典式67公斤级1/8决赛 博雷罗·莫利纳 VS 佐伊泽 拉马兹,幕张展览馆 A厅
03日10:37,摔跤,男子古典式87公斤级1/8决赛 库德拉 VS 图尔西诺夫·努尔苏丹,幕张展览馆 A厅
03日10:37,摔跤,女子自由式62公斤级1/8决赛 绍什丁·玛丽安娜 VS 印克采,幕张展览馆 A厅
03日10:44,摔跤,男子古典式67公斤级1/8决赛 苏莱曼·纳斯尔 VS 艾尔·奥贝迪,幕张展览馆 A厅
03日10:44,摔跤,男子古典式87公斤级1/8决赛 马斯克维奇 基里尔 VS 穆罕默德·梅特瓦利,幕张展览馆 A厅
03日10:44,摔跤,女子自由式62公斤级1/8决赛 阿德尼伊 VS 科利亚坚科 伊琳娜,幕张展览馆 A厅
03日10:51,摔跤,男子古典式67公斤级1/8决赛 奥尔塔·阿塞维多 VS 杰雷·穆罕默德德雷萨,幕张展览馆 A厅
03日10:51,摔跤,男子古典式87公斤级1/8决赛 阿布巴索夫 伊斯拉姆 VS 格雷戈里奇·埃查瓦里亚,幕张展览馆 A厅
03日10:51,摔跤,女子自由式62公斤级1/8决赛 龙佳 VS 美瑞可,幕张展览馆 A厅
03日10:58,摔跤,男子古典式67公斤级1/8决赛 斯塔布勒 VS 尼姆斯,幕张展览馆 A厅
03日10:58,摔跤,男子古典式87公斤级1/8决赛 阿斯萨卡洛夫 鲁斯塔姆 VS 戈巴泽 拉沙,幕张展览馆 A厅
03日10:58,摔跤,女子自由式62公斤级1/8决赛 川井 友香子 VS 奥弗恰萝娃 柳博维,幕张展览馆 A厅
03日11:05,摔跤,男子古典式67公斤级1/8决赛 苏尔科夫 阿尔乔姆 VS 桑乔,幕张展览馆 A厅
03日11:05,摔跤,男子古典式87公斤级1/8决赛 哈克勒克 VS 小斯特凡诺维奇,幕张展览馆 A厅
